* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -16.2 dBFS, measurement signal peak level -16.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 02 10, 24 1:15:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0795 ms (-27 mm, -1.07 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: 1.4 ppm
* Measurement: 7hz Timeless CP100 (L)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.407	-98.0177
20.299999	94.498	-99.1548
20.600000	94.586	-100.2614
20.900000	94.672	-101.3345
21.200001	94.757	-102.3775
21.400000	94.813	-103.0627
21.799999	94.926	-104.4242
22.000000	94.982	-105.1073
22.400000	95.087	-106.4844
22.700001	95.160	-107.5184
23.000000	95.225	-108.5361
23.299999	95.283	-109.5195
23.600000	95.337	-110.4583
24.000000	95.406	-111.6383
24.299999	95.459	-112.4813
24.700001	95.532	-113.5750
25.000000	95.589	-114.3897
25.400000	95.664	-115.4795
25.799999	95.736	-116.5704
26.200001	95.803	-117.6517
26.500000	95.850	-118.4514
26.900000	95.910	-119.5008
27.200001	95.952	-120.2755
27.600000	96.005	-121.2917
28.000000	96.055	-122.2857
28.500000	96.113	-123.4927
29.000000	96.169	-124.6637
29.500000	96.224	-125.8108
30.000000	96.276	-126.9437
30.400000	96.315	-127.8388
30.700001	96.343	-128.5007
31.100000	96.378	-129.3670
31.500000	96.411	-130.2133
32.000000	96.451	-131.2453
32.500000	96.490	-132.2527
33.000000	96.527	-133.2381
33.500000	96.562	-134.2013
34.000000	96.594	-135.1436
34.500000	96.625	-136.0689
35.000000	96.653	-136.9793
35.500000	96.677	-137.8711
36.000000	96.699	-138.7373
36.500000	96.719	-139.5763
37.000000	96.739	-140.3954
37.500000	96.758	-141.2042
38.200001	96.783	-142.3237
38.700001	96.800	-143.1096
39.500000	96.823	-144.3480
40.000000	96.835	-145.1151
40.599998	96.846	-146.0166
41.200001	96.854	-146.8751
41.799999	96.862	-147.6905
42.500000	96.876	-148.6204
43.099998	96.887	-149.4189
43.700001	96.895	-150.2089
44.400002	96.901	-151.1015
45.000000	96.906	-151.8432
45.500000	96.910	-152.4541
46.200001	96.913	-153.3047
46.799999	96.912	-154.0212
47.500000	96.907	-154.8222
48.200001	96.902	-155.5831
48.700001	96.900	-156.1146
49.400002	96.897	-156.8582
50.000000	96.893	-157.4908
50.799999	96.885	-158.3120
51.500000	96.878	-159.0138
52.200001	96.869	-159.7069
53.000000	96.856	-160.4770
53.799999	96.843	-161.2208
54.500000	96.832	-161.8615
55.200001	96.819	-162.4928
56.000000	96.804	-163.2023
57.000000	96.782	-164.0768
58.000000	96.755	-164.8951
59.000000	96.734	-165.6664
60.000000	96.715	-166.4534
60.799999	96.696	-167.0728
61.500000	96.678	-167.5921
62.200001	96.660	-168.0961
63.000000	96.639	-168.6615
64.000000	96.614	-169.3570
65.000000	96.586	-170.0380
66.000000	96.557	-170.6982
67.000000	96.528	-171.3423
68.000000	96.499	-171.9767
69.000000	96.469	-172.6041
70.000000	96.435	-173.2109
71.000000	96.402	-173.7816
72.000000	96.370	-174.3334
73.000000	96.338	-174.8772
74.000000	96.304	-175.4068
75.000000	96.271	-175.9245
76.199997	96.229	-176.5306
77.500000	96.183	-177.1668
78.800003	96.136	-177.7806
80.000000	96.093	-178.3296
81.199997	96.050	-178.8604
82.500000	96.003	-179.4121
83.800003	95.956	-179.9503
85.000000	95.911	179.5687
86.199997	95.866	179.1075
87.500000	95.817	178.6235
88.500000	95.779	178.2635
90.000000	95.724	177.7440
91.199997	95.679	177.3441
92.500000	95.632	176.9259
93.800003	95.584	176.5195
95.000000	95.541	176.1540
96.199997	95.497	175.7981
97.500000	95.450	175.4205
98.800003	95.403	175.0508
100.000000	95.360	174.7178
101.500000	95.305	174.3143
103.000000	95.251	173.9276
104.400002	95.199	173.5825
106.000000	95.141	173.2055
107.500000	95.086	172.8637
109.000000	95.031	172.5352
110.599998	94.972	172.1957
112.000000	94.921	171.9064
113.800003	94.854	171.5511
115.000000	94.809	171.3297
117.199997	94.729	170.9425
118.000000	94.701	170.8066
120.599998	94.609	170.3857
122.000000	94.560	170.1758
124.099998	94.487	169.8843
125.000000	94.457	169.7662
126.500000	94.408	169.5744
128.000000	94.361	169.3863
131.500000	94.255	168.9639
132.000000	94.240	168.9064
134.000000	94.180	168.6860
136.000000	94.121	168.4794
138.000000	94.060	168.2855
140.000000	94.001	168.1024
143.000000	93.912	167.8328
145.000000	93.853	167.6670
147.500000	93.779	167.4857
150.000000	93.706	167.3249
152.500000	93.633	167.1836
155.000000	93.562	167.0569
157.500000	93.491	166.9393
160.000000	93.415	166.8394
162.500000	93.333	166.7555
165.000000	93.248	166.6801
167.500000	93.164	166.6156
