* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -15.2 dBFS, measurement signal peak level -15.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 02 10, 24 1:11:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0847 ms (-29 mm, -1.14 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset Clock adjustment: -1.2 ppm
* Measurement: 7hz Timeless CP100 (R)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.684	-104.4461
20.299999	95.763	-105.5027
20.600000	95.841	-106.5381
20.900000	95.920	-107.5638
21.200001	95.996	-108.5904
21.400000	96.044	-109.2763
21.799999	96.133	-110.6407
22.000000	96.173	-111.3102
22.400000	96.247	-112.6007
22.700001	96.299	-113.5151
23.000000	96.351	-114.3859
23.299999	96.407	-115.2312
23.600000	96.465	-116.0719
24.000000	96.545	-117.2136
24.299999	96.602	-118.0923
24.700001	96.671	-119.2771
25.000000	96.716	-120.1522
25.400000	96.769	-121.2730
25.799999	96.820	-122.3313
26.200001	96.871	-123.3428
26.500000	96.910	-124.0866
26.900000	96.963	-125.0719
27.200001	97.000	-125.8072
27.600000	97.047	-126.7760
28.000000	97.090	-127.7222
28.500000	97.141	-128.8711
29.000000	97.190	-129.9931
29.500000	97.236	-131.0966
30.000000	97.277	-132.1786
30.400000	97.307	-133.0242
30.700001	97.328	-133.6462
31.100000	97.355	-134.4599
31.500000	97.381	-135.2569
32.000000	97.412	-136.2302
32.500000	97.442	-137.1803
33.000000	97.471	-138.1136
33.500000	97.498	-139.0363
34.000000	97.522	-139.9466
34.500000	97.544	-140.8351
35.000000	97.563	-141.6952
35.500000	97.581	-142.5303
36.000000	97.600	-143.3503
36.500000	97.617	-144.1611
37.000000	97.631	-144.9592
37.500000	97.644	-145.7374
38.200001	97.660	-146.7954
38.700001	97.670	-147.5384
39.500000	97.681	-148.7025
40.000000	97.686	-149.3967
40.599998	97.692	-150.1930
41.200001	97.702	-150.9785
41.799999	97.711	-151.7779
42.500000	97.716	-152.7109
43.099998	97.715	-153.4784
43.700001	97.714	-154.2125
44.400002	97.712	-155.0436
45.000000	97.711	-155.7413
45.500000	97.710	-156.3141
46.200001	97.707	-157.1118
46.799999	97.703	-157.7922
47.500000	97.694	-158.5645
48.200001	97.685	-159.3071
48.700001	97.678	-159.8280
49.400002	97.668	-160.5495
50.000000	97.658	-161.1504
50.799999	97.645	-161.9226
51.500000	97.634	-162.5879
52.200001	97.621	-163.2442
53.000000	97.605	-163.9685
53.799999	97.589	-164.6728
54.500000	97.573	-165.2797
55.200001	97.554	-165.8671
56.000000	97.530	-166.5058
57.000000	97.503	-167.2583
58.000000	97.482	-168.0048
59.000000	97.459	-168.8035
60.000000	97.426	-169.5857
60.799999	97.398	-170.1630
61.500000	97.375	-170.6507
62.200001	97.352	-171.1272
63.000000	97.327	-171.6526
64.000000	97.298	-172.2914
65.000000	97.270	-172.9340
66.000000	97.239	-173.5800
67.000000	97.203	-174.2011
68.000000	97.166	-174.7877
69.000000	97.131	-175.3545
70.000000	97.096	-175.9078
71.000000	97.061	-176.4536
72.000000	97.025	-176.9884
73.000000	96.988	-177.4994
74.000000	96.951	-177.9871
75.000000	96.914	-178.4626
76.199997	96.869	-179.0240
77.500000	96.819	-179.6091
78.800003	96.771	179.8201
80.000000	96.728	179.2968
81.199997	96.684	178.7821
82.500000	96.634	178.2432
83.800003	96.584	177.7388
85.000000	96.538	177.2935
86.199997	96.492	176.8607
87.500000	96.440	176.4112
88.500000	96.401	176.0739
90.000000	96.341	175.5767
91.199997	96.293	175.1913
92.500000	96.241	174.7890
93.800003	96.190	174.3998
95.000000	96.142	174.0500
96.199997	96.095	173.7116
97.500000	96.044	173.3586
98.800003	95.992	173.0157
100.000000	95.945	172.7086
101.500000	95.885	172.3406
103.000000	95.826	171.9873
104.400002	95.771	171.6673
106.000000	95.709	171.3211
107.500000	95.650	171.0130
109.000000	95.592	170.7174
110.599998	95.530	170.4189
112.000000	95.475	170.1693
113.800003	95.406	169.8617
115.000000	95.360	169.6677
117.199997	95.277	169.3390
118.000000	95.248	169.2274
120.599998	95.155	168.8704
122.000000	95.105	168.6898
124.099998	95.033	168.4315
125.000000	95.002	168.3243
126.500000	94.954	168.1557
128.000000	94.908	167.9907
131.500000	94.800	167.6102
132.000000	94.785	167.5579
134.000000	94.722	167.3578
136.000000	94.660	167.1698
138.000000	94.598	166.9927
140.000000	94.537	166.8251
143.000000	94.444	166.6012
145.000000	94.383	166.4660
147.500000	94.306	166.3137
150.000000	94.232	166.1786
152.500000	94.158	166.0588
155.000000	94.084	165.9618
157.500000	94.011	165.8768
160.000000	93.935	165.7976
162.500000	93.852	165.7317
165.000000	93.766	165.6821
167.500000	93.680	165.6486
170.000000	93.597	165.6266
172.500000	93.514	165.6121
175.000000	93.432	165.6048
177.500000	93.351	165.6046
180.000000	93.271	165.6156
182.500000	93.192	165.6396
185.000000	93.115	165.6721
187.500000	93.038	165.7128
190.000000	92.963	165.7594
192.500000	92.887	165.8097
195.000000	92.813	165.8687
197.500000	92.742	165.9394
200.000000	92.676	166.0159
203.000000	92.604	166.1108
206.000000	92.537	166.2139
209.000000	92.473	166.3304
212.000000	92.412	166.4562
214.000000	92.371	166.5435
218.000000	92.291	166.7263
220.000000	92.251	166.8217
224.000000	92.173	167.0187
227.000000	92.116	167.1725
230.000000	92.060	167.3402
233.000000	92.003	167.5146
236.000000	91.948	167.6906
240.000000	91.876	167.9339
243.000000	91.823	168.1249
247.000000	91.754	168.3871
250.000000	91.702	168.5893
254.000000	91.633	168.8606
258.000000	91.564	169.1389
262.000000	91.496	169.4284
265.000000	91.445	169.6495
269.000000	91.379	169.9518
272.000000	91.330	170.1824
276.000000	91.266	170.4918
280.000000	91.205	170.8030
285.000000	91.130	171.2003
290.000000	91.057	171.6074
295.000000	90.986	172.0169
300.000000	90.916	172.4265
304.000000	90.862	172.7642
307.000000	90.822	173.0237
311.000000	90.771	173.3697
315.000000	90.721	173.7170
320.000000	90.662	174.1568
325.000000	90.604	174.6006
330.000000	90.549	175.0468
335.000000	90.493	175.4949
340.000000	90.440	175.9500
345.000000	90.387	176.4101
350.000000	90.337	176.8720
355.000000	90.288	177.3338
360.000000	90.241	177.7966
365.000000	90.195	178.2620
370.000000	90.150	178.7314
375.000000	90.107	179.2046
382.000000	90.048	179.8726
387.000000	90.006	-179.6452
395.000000	89.944	-178.8723
400.000000	89.907	-178.3920
406.000000	89.864	-177.8109
412.000000	89.824	-177.2242
418.000000	89.784	-176.6379
425.000000	89.739	-175.9529
431.000000	89.703	-175.3640
437.000000	89.668	-174.7749
444.000000	89.629	-174.0802
450.000000	89.598	-173.4848
455.000000	89.573	-172.9928
462.000000	89.539	-172.3016
468.000000	89.511	-171.7068
475.000000	89.480	-171.0139
482.000000	89.451	-170.3187
487.000000	89.431	-169.8193
494.000000	89.405	-169.1184
500.000000	89.383	-168.5191
508.000000	89.356	-167.7215
515.000000	89.335	-167.0225
522.000000	89.315	-166.3232
530.000000	89.294	-165.5236
538.000000	89.274	-164.7248
545.000000	89.259	-164.0292
552.000000	89.245	-163.3353
560.000000	89.231	-162.5436
570.000000	89.215	-161.5506
580.000000	89.201	-160.5536
590.000000	89.190	-159.5567
600.000000	89.181	-158.5631
608.000000	89.176	-157.7678
615.000000	89.173	-157.0706
622.000000	89.171	-156.3747
630.000000	89.170	-155.5814
640.000000	89.170	-154.5891
650.000000	89.172	-153.5957
660.000000	89.176	-152.6034
670.000000	89.182	-151.6140
680.000000	89.191	-150.6270
690.000000	89.203	-149.6394
700.000000	89.217	-148.6519
710.000000	89.234	-147.6674
720.000000	89.253	-146.6856
730.000000	89.275	-145.7063
740.000000	89.299	-144.7311
750.000000	89.326	-143.7595
762.000000	89.361	-142.5961
775.000000	89.403	-141.3442
788.000000	89.450	-140.1019
800.000000	89.497	-138.9638
812.000000	89.546	-137.8355
825.000000	89.602	-136.6250
838.000000	89.663	-135.4287
850.000000	89.723	-134.3382
862.000000	89.786	-133.2622
875.000000	89.858	-132.1132
885.000000	89.916	-131.2421
900.000000	90.007	-129.9567
912.000000	90.083	-128.9518
925.000000	90.168	-127.8864
938.000000	90.257	-126.8436
950.000000	90.341	-125.9026
962.000000	90.427	-124.9836
975.000000	90.522	-124.0133
988.000000	90.619	-123.0693
1000.000000	90.711	-122.2197
