* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 12:41:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JVC HA-FDX1 50% CP100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.475	-106.5935
20.600000	93.516	-107.1711
20.900000	93.597	-108.1977
21.200001	93.670	-109.1618
21.400000	93.712	-109.7748
21.799999	93.787	-110.9830
22.000000	93.820	-111.5877
22.400000	93.877	-112.7647
22.700001	93.917	-113.5998
23.000000	93.960	-114.3960
23.299999	94.009	-115.1714
23.600000	94.067	-115.9492
24.000000	94.154	-117.0220
24.299999	94.220	-117.8589
24.700001	94.301	-118.9894
25.000000	94.353	-119.8121
25.400000	94.410	-120.8336
25.799999	94.461	-121.7605
26.200001	94.512	-122.6331
26.500000	94.551	-123.2879
26.900000	94.605	-124.1892
27.200001	94.643	-124.8824
27.600000	94.690	-125.7988
28.000000	94.733	-126.6657
28.500000	94.787	-127.6678
29.000000	94.839	-128.6388
29.500000	94.880	-129.6351
30.000000	94.909	-130.6380
30.400000	94.931	-131.4107
30.700001	94.954	-131.9716
31.100000	94.996	-132.7183
31.500000	95.045	-133.4805
32.000000	95.094	-134.4164
32.500000	95.119	-135.2282
33.000000	95.130	-135.9102
33.500000	95.148	-136.6713
34.000000	95.165	-137.7723
34.500000	95.156	-139.1797
35.000000	95.114	-140.5224
35.500000	95.082	-141.3934
36.000000	95.110	-141.7678
36.500000	95.204	-141.9760
37.000000	95.312	-142.3517
37.500000	95.381	-142.9320
38.200001	95.398	-143.8095
38.700001	95.394	-144.4043
39.500000	95.410	-145.4623
40.000000	95.426	-146.1670
40.599998	95.442	-146.9281
41.200001	95.458	-147.5864
41.799999	95.474	-148.2461
42.500000	95.488	-149.0802
43.099998	95.495	-149.8021
43.700001	95.502	-150.4872
44.400002	95.511	-151.2297
45.000000	95.519	-151.8371
45.500000	95.526	-152.3522
46.200001	95.535	-153.1041
46.799999	95.537	-153.7367
47.500000	95.537	-154.3974
48.200001	95.539	-154.9977
48.700001	95.543	-155.4287
49.400002	95.545	-156.0548
50.000000	95.544	-156.5961
50.799999	95.544	-157.3061
51.500000	95.543	-157.9176
52.200001	95.539	-158.5100
53.000000	95.533	-159.1478
53.799999	95.529	-159.7656
54.500000	95.525	-160.3108
55.200001	95.516	-160.8425
56.000000	95.508	-161.4140
57.000000	95.501	-162.1030
58.000000	95.489	-162.7510
59.000000	95.480	-163.3925
60.000000	95.473	-164.1371
60.799999	95.464	-164.7392
61.500000	95.455	-165.2080
62.200001	95.445	-165.6157
63.000000	95.432	-166.0283
64.000000	95.421	-166.5450
65.000000	95.412	-167.1090
66.000000	95.399	-167.6736
67.000000	95.383	-168.2569
