* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 12:39:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JVC HA-FDX1 50% CP100 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.208	-104.7710
20.600000	92.244	-105.3057
20.900000	92.317	-106.2559
21.200001	92.387	-107.1521
21.400000	92.432	-107.7336
21.799999	92.520	-108.9249
22.000000	92.563	-109.5479
22.400000	92.640	-110.8115
22.700001	92.691	-111.7312
23.000000	92.738	-112.5940
23.299999	92.786	-113.3864
23.600000	92.837	-114.1160
24.000000	92.914	-115.0265
24.299999	92.977	-115.6997
24.700001	93.061	-116.6202
25.000000	93.119	-117.3335
25.400000	93.188	-118.3012
25.799999	93.247	-119.2620
26.200001	93.302	-120.2043
26.500000	93.344	-120.9025
26.900000	93.401	-121.8284
27.200001	93.444	-122.5141
27.600000	93.498	-123.3957
28.000000	93.547	-124.2113
28.500000	93.604	-125.1337
29.000000	93.658	-126.0207
29.500000	93.704	-126.9547
30.000000	93.741	-127.9312
30.400000	93.770	-128.6906
30.700001	93.797	-129.2303
31.100000	93.844	-129.9260
31.500000	93.896	-130.6265
32.000000	93.945	-131.5150
32.500000	93.961	-132.3333
33.000000	93.962	-133.0368
33.500000	93.985	-133.8018
34.000000	94.040	-134.9380
34.500000	94.090	-136.4926
35.000000	94.099	-138.0732
35.500000	94.077	-139.1049
36.000000	94.079	-139.3917
36.500000	94.138	-139.2728
37.000000	94.226	-139.2825
37.500000	94.290	-139.6509
38.200001	94.302	-140.5247
38.700001	94.293	-141.1830
39.500000	94.315	-142.2551
40.000000	94.342	-142.9250
40.599998	94.371	-143.6291
41.200001	94.394	-144.2237
41.799999	94.414	-144.8280
42.500000	94.432	-145.6192
43.099998	94.446	-146.3155
43.700001	94.463	-146.9879
44.400002	94.481	-147.7268
45.000000	94.490	-148.2936
45.500000	94.497	-148.7190
46.200001	94.509	-149.3017
46.799999	94.522	-149.8378
47.500000	94.534	-150.4942
48.200001	94.544	-151.1450
48.700001	94.551	-151.6014
49.400002	94.559	-152.2321
50.000000	94.560	-152.7568
50.799999	94.557	-153.4280
51.500000	94.559	-154.0330
52.200001	94.568	-154.7005
53.000000	94.574	-155.4661
53.799999	94.574	-156.0707
54.500000	94.576	-156.4776
55.200001	94.580	-156.8987
56.000000	94.580	-157.4446
57.000000	94.582	-158.1128
58.000000	94.590	-158.7713
59.000000	94.585	-159.4764
60.000000	94.569	-160.1983
60.799999	94.561	-160.7266
61.500000	94.563	-161.1168
62.200001	94.571	-161.4731
63.000000	94.575	-161.9021
64.000000	94.561	-162.4658
65.000000	94.543	-162.9976
66.000000	94.532	-163.5108
67.000000	94.527	-164.0275
68.000000	94.525	-164.5763
69.000000	94.517	-165.1384
70.000000	94.494	-165.5962
71.000000	94.471	-166.0056
72.000000	94.460	-166.5052
73.000000	94.462	-167.0179
74.000000	94.466	-167.4343
75.000000	94.453	-167.8391
76.199997	94.421	-168.5124
77.500000	94.389	-169.3524
78.800003	94.325	-169.9578
80.000000	94.266	-170.0526
81.199997	94.286	-170.1865
82.500000	94.312	-170.8285
83.800003	94.292	-171.7753
85.000000	94.290	-172.2458
86.199997	94.327	-172.2986
87.500000	94.305	-172.5008
88.500000	94.268	-172.8481
90.000000	94.233	-173.5944
91.199997	94.193	-173.9156
92.500000	94.161	-174.0795
93.800003	94.140	-174.3689
95.000000	94.121	-174.6884
96.199997	94.097	-175.0047
97.500000	94.069	-175.3398
98.800003	94.041	-175.6760
100.000000	94.018	-175.9790
101.500000	93.991	-176.3386
103.000000	93.965	-176.6780
104.400002	93.938	-176.9668
106.000000	93.900	-177.2892
107.500000	93.862	-177.5925
109.000000	93.829	-177.8981
110.599998	93.799	-178.2408
112.000000	93.771	-178.5386
113.800003	93.733	-178.8615
115.000000	93.708	-179.0501
117.199997	93.665	-179.4183
118.000000	93.648	-179.5584
120.599998	93.599	-179.9681
122.000000	93.573	179.8309
124.099998	93.533	179.5148
125.000000	93.517	179.3773
126.500000	93.490	179.1694
128.000000	93.461	178.9778
131.500000	93.404	178.4911
132.000000	93.396	178.4225
134.000000	93.362	178.1691
136.000000	93.325	177.9440
138.000000	93.288	177.7223
140.000000	93.252	177.5186
143.000000	93.192	177.1971
145.000000	93.154	176.9870
147.500000	93.116	176.7716
150.000000	93.079	176.5765
152.500000	93.038	176.3704
155.000000	92.989	176.1732
157.500000	92.937	176.0165
160.000000	92.882	175.9006
162.500000	92.821	175.7968
165.000000	92.754	175.6415
167.500000	92.689	175.4863
170.000000	92.629	175.3873
172.500000	92.573	175.3106
175.000000	92.515	175.2180
177.500000	92.453	175.1419
180.000000	92.393	175.0818
182.500000	92.336	175.0180
185.000000	92.279	174.9645
187.500000	92.224	174.9290
190.000000	92.168	174.9173
192.500000	92.109	174.9091
195.000000	92.049	174.8880
197.500000	91.994	174.8732
200.000000	91.947	174.8819
203.000000	91.894	174.9312
206.000000	91.846	174.9553
209.000000	91.805	174.9413
212.000000	91.762	174.9567
214.000000	91.732	174.9816
218.000000	91.673	175.0678
220.000000	91.643	175.1169
224.000000	91.585	175.2044
227.000000	91.544	175.2776
230.000000	91.504	175.3722
233.000000	91.464	175.4654
236.000000	91.425	175.5497
240.000000	91.377	175.6831
243.000000	91.340	175.7967
247.000000	91.287	175.9587
250.000000	91.244	176.0912
254.000000	91.189	176.2610
258.000000	91.136	176.4583
262.000000	91.086	176.6639
265.000000	91.047	176.8040
269.000000	90.998	177.0038
272.000000	90.964	177.1842
276.000000	90.915	177.4380
280.000000	90.863	177.6635
285.000000	90.807	177.9256
290.000000	90.754	178.2066
295.000000	90.701	178.5387
300.000000	90.652	178.8707
304.000000	90.612	179.1160
307.000000	90.579	179.2999
311.000000	90.535	179.5667
315.000000	90.494	179.8646
320.000000	90.450	-179.7536
325.000000	90.411	-179.3852
330.000000	90.371	-179.0320
335.000000	90.330	-178.6979
340.000000	90.295	-178.3779
345.000000	90.263	-178.0321
350.000000	90.232	-177.6428
355.000000	90.196	-177.2329
