* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 4:30:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FX700 CP100 8K L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.193	-85.1880
20.600000	99.253	-85.8686
20.900000	99.374	-87.0877
21.200001	99.485	-88.2587
21.400000	99.554	-89.0197
21.799999	99.685	-90.5538
22.000000	99.747	-91.3347
22.400000	99.865	-92.8761
22.700001	99.948	-93.9778
23.000000	100.031	-95.0168
23.299999	100.115	-95.9972
23.600000	100.203	-96.9366
24.000000	100.323	-98.1625
24.299999	100.412	-99.0850
24.700001	100.523	-100.3240
25.000000	100.598	-101.2451
25.400000	100.687	-102.4348
25.799999	100.770	-103.5648
26.200001	100.851	-104.6504
26.500000	100.913	-105.4573
26.900000	100.995	-106.5460
27.200001	101.054	-107.3755
27.600000	101.128	-108.4855
28.000000	101.196	-109.5727
28.500000	101.278	-110.8694
29.000000	101.360	-112.1002
29.500000	101.445	-113.2962
30.000000	101.527	-114.4884
30.400000	101.586	-115.4473
30.700001	101.627	-116.1669
31.100000	101.675	-117.1172
31.500000	101.717	-118.0456
32.000000	101.770	-119.1656
32.500000	101.827	-120.2533
33.000000	101.889	-121.3375
33.500000	101.951	-122.4275
34.000000	102.006	-123.4955
34.500000	102.052	-124.5035
35.000000	102.094	-125.4460
35.500000	102.137	-126.3560
36.000000	102.183	-127.2713
36.500000	102.229	-128.2037
37.000000	102.275	-129.1416
37.500000	102.317	-130.0691
38.200001	102.369	-131.3255
38.700001	102.398	-132.1808
39.500000	102.442	-133.4947
40.000000	102.470	-134.3162
40.599998	102.504	-135.3160
41.200001	102.534	-136.2934
41.799999	102.564	-137.2114
42.500000	102.600	-138.2304
43.099998	102.629	-139.1095
43.700001	102.653	-139.9965
44.400002	102.677	-140.9980
45.000000	102.698	-141.8122
45.500000	102.718	-142.4742
46.200001	102.745	-143.3942
46.799999	102.763	-144.1727
47.500000	102.779	-145.0577
48.200001	102.794	-145.9182
48.700001	102.804	-146.5202
49.400002	102.819	-147.3517
50.000000	102.833	-148.0670
50.799999	102.850	-149.0381
51.500000	102.861	-149.8899
52.200001	102.868	-150.7152
53.000000	102.877	-151.6001
53.799999	102.888	-152.4285
54.500000	102.899	-153.1401
55.200001	102.908	-153.8568
56.000000	102.913	-154.6685
57.000000	102.917	-155.6731
58.000000	102.922	-156.6852
59.000000	102.924	-157.6588
60.000000	102.924	-158.5696
60.799999	102.922	-159.2557
61.500000	102.922	-159.8407
62.200001	102.923	-160.4405
63.000000	102.924	-161.1530
64.000000	102.920	-162.0344
65.000000	102.915	-162.8680
66.000000	102.907	-163.6659
67.000000	102.896	-164.4447
68.000000	102.882	-165.2111
69.000000	102.870	-165.9686
70.000000	102.863	-166.7411
71.000000	102.854	-167.5093
72.000000	102.843	-168.2370
73.000000	102.832	-168.9257
74.000000	102.820	-169.5928
75.000000	102.808	-170.2666
76.199997	102.786	-171.0644
77.500000	102.760	-171.8629
78.800003	102.747	-172.6276
80.000000	102.732	-173.3557
81.199997	102.705	-174.1147
82.500000	102.676	-174.9644
83.800003	102.645	-175.7072
85.000000	102.606	-176.4180
86.199997	102.556	-177.2630
87.500000	102.520	-177.9965
88.500000	102.515	-178.4193
90.000000	102.497	-179.0542
91.199997	102.475	-179.5826
92.500000	102.449	179.7974
93.800003	102.427	179.1520
95.000000	102.412	178.5674
96.199997	102.387	178.0042
97.500000	102.349	177.4017
98.800003	102.319	176.8061
100.000000	102.292	176.2662
101.500000	102.252	175.6028
103.000000	102.218	174.9952
104.400002	102.188	174.4666
106.000000	102.147	173.8174
107.500000	102.108	173.2031
109.000000	102.071	172.6316
110.599998	102.035	171.9721
112.000000	101.996	171.3064
113.800003	101.927	170.5426
115.000000	101.886	170.1572
117.199997	101.835	169.4495
118.000000	101.815	169.1630
120.599998	101.746	168.2946
122.000000	101.704	167.8457
124.099998	101.642	167.1504
125.000000	101.616	166.8549
126.500000	101.574	166.3768
128.000000	101.532	165.9019
131.500000	101.436	164.8298
132.000000	101.423	164.6837
134.000000	101.370	164.1385
136.000000	101.307	163.5956
138.000000	101.248	163.0031
140.000000	101.204	162.4504
143.000000	101.127	161.7297
145.000000	101.076	161.2689
147.500000	101.007	160.6788
150.000000	100.932	160.0732
152.500000	100.859	159.4778
155.000000	100.791	158.9479
