* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 4:22:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FX700 CP100 8K R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.364	-88.7849
20.600000	99.419	-89.4758
20.900000	99.529	-90.7105
21.200001	99.631	-91.8875
21.400000	99.695	-92.6462
21.799999	99.819	-94.1659
22.000000	99.880	-94.9387
22.400000	99.999	-96.4713
22.700001	100.084	-97.5777
23.000000	100.166	-98.6305
23.299999	100.247	-99.6247
23.600000	100.327	-100.5672
24.000000	100.434	-101.7653
24.299999	100.512	-102.6396
24.700001	100.612	-103.7919
25.000000	100.682	-104.6525
25.400000	100.770	-105.7975
25.799999	100.853	-106.9397
26.200001	100.933	-108.0779
26.500000	100.990	-108.9264
26.900000	101.065	-110.0449
27.200001	101.120	-110.8696
27.600000	101.191	-111.9467
28.000000	101.260	-112.9993
28.500000	101.342	-114.2852
29.000000	101.416	-115.5418
29.500000	101.486	-116.7758
30.000000	101.554	-118.0085
30.400000	101.608	-119.0077
30.700001	101.647	-119.7629
31.100000	101.696	-120.7581
31.500000	101.742	-121.7127
32.000000	101.798	-122.8216
32.500000	101.857	-123.8532
33.000000	101.915	-124.8563
33.500000	101.966	-125.8539
34.000000	102.008	-126.8286
34.500000	102.046	-127.7675
35.000000	102.088	-128.6975
35.500000	102.135	-129.6620
36.000000	102.179	-130.6623
36.500000	102.215	-131.6512
37.000000	102.247	-132.5801
37.500000	102.277	-133.4462
38.200001	102.320	-134.6169
38.700001	102.349	-135.4555
39.500000	102.388	-136.7902
40.000000	102.410	-137.6069
40.599998	102.437	-138.5703
41.200001	102.464	-139.5194
41.799999	102.489	-140.4539
42.500000	102.516	-141.5200
43.099998	102.538	-142.4051
43.700001	102.560	-143.2621
44.400002	102.583	-144.2380
45.000000	102.597	-145.0587
45.500000	102.605	-145.7249
46.200001	102.615	-146.6297
46.799999	102.626	-147.4006
47.500000	102.643	-148.3176
