* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 4:05:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FX700 CP100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.349	-84.4931
20.600000	98.413	-85.1843
20.900000	98.539	-86.4080
21.200001	98.654	-87.5428
21.400000	98.725	-88.2512
21.799999	98.858	-89.6204
22.000000	98.922	-90.2987
22.400000	99.043	-91.6267
22.700001	99.129	-92.5941
23.000000	99.213	-93.5494
23.299999	99.297	-94.5045
23.600000	99.380	-95.4695
24.000000	99.491	-96.7795
24.299999	99.572	-97.7725
24.700001	99.678	-99.0865
25.000000	99.755	-100.0434
25.400000	99.854	-101.2618
25.799999	99.951	-102.4132
26.200001	100.044	-103.5155
26.500000	100.110	-104.3252
26.900000	100.193	-105.3964
27.200001	100.250	-106.1980
27.600000	100.322	-107.2642
28.000000	100.391	-108.3222
28.500000	100.475	-109.6213
29.000000	100.561	-110.8784
29.500000	100.646	-112.0847
30.000000	100.730	-113.2502
30.400000	100.794	-114.1692
30.700001	100.838	-114.8565
31.100000	100.891	-115.7690
31.500000	100.939	-116.6687
32.000000	100.996	-117.7652
32.500000	101.056	-118.8390
33.000000	101.119	-119.9112
33.500000	101.181	-120.9789
34.000000	101.236	-122.0064
34.500000	101.286	-122.9659
35.000000	101.336	-123.8780
35.500000	101.385	-124.7960
36.000000	101.429	-125.7446
36.500000	101.465	-126.6952
37.000000	101.499	-127.6018
37.500000	101.538	-128.4577
38.200001	101.601	-129.6344
38.700001	101.644	-130.4865
39.500000	101.697	-131.8067
40.000000	101.724	-132.5753
40.599998	101.758	-133.4667
41.200001	101.795	-134.3667
41.799999	101.830	-135.2788
42.500000	101.868	-136.3362
43.099998	101.898	-137.2330
43.700001	101.925	-138.1197
44.400002	101.955	-139.1208
45.000000	101.981	-139.9399
45.500000	102.003	-140.6035
46.200001	102.032	-141.5157
46.799999	102.051	-142.2749
47.500000	102.068	-143.1263
48.200001	102.088	-143.9614
48.700001	102.103	-144.5599
49.400002	102.124	-145.3931
50.000000	102.141	-146.0887
50.799999	102.163	-146.9911
51.500000	102.179	-147.7742
52.200001	102.191	-148.5561
53.000000	102.202	-149.4384
53.799999	102.212	-150.2923
54.500000	102.222	-151.0058
55.200001	102.232	-151.6962
56.000000	102.244	-152.4847
57.000000	102.251	-153.4692
58.000000	102.256	-154.4086
59.000000	102.266	-155.3178
60.000000	102.277	-156.2049
60.799999	102.284	-156.9079
61.500000	102.286	-157.5302
62.200001	102.285	-158.1433
63.000000	102.286	-158.8181
64.000000	102.290	-159.6418
65.000000	102.288	-160.4404
66.000000	102.281	-161.2157
67.000000	102.275	-161.9902
68.000000	102.271	-162.7449
69.000000	102.270	-163.4770
70.000000	102.266	-164.2016
71.000000	102.256	-164.9185
72.000000	102.247	-165.6309
73.000000	102.239	-166.3333
74.000000	102.232	-167.0075
75.000000	102.224	-167.6659
76.199997	102.217	-168.4450
77.500000	102.214	-169.2298
78.800003	102.202	-169.9179
80.000000	102.181	-170.5960
81.199997	102.150	-171.3431
82.500000	102.123	-172.1764
83.800003	102.113	-173.0626
85.000000	102.108	-173.8763
86.199997	102.088	-174.5676
87.500000	102.062	-175.0942
88.500000	102.050	-175.3869
90.000000	102.036	-175.8816
91.199997	102.012	-176.5515
92.500000	101.977	-177.3412
93.800003	101.952	-178.0060
95.000000	101.932	-178.5740
96.199997	101.910	-179.1442
97.500000	101.887	-179.7390
98.800003	101.864	179.6855
100.000000	101.840	179.1509
101.500000	101.810	178.4908
103.000000	101.781	177.8446
104.400002	101.752	177.2501
106.000000	101.717	176.5926
107.500000	101.686	175.9853
109.000000	101.653	175.3863
110.599998	101.614	174.7743
112.000000	101.581	174.2537
113.800003	101.541	173.5906
115.000000	101.513	173.1579
117.199997	101.458	172.3790
118.000000	101.439	172.1024
120.599998	101.374	171.2363
122.000000	101.339	170.7741
124.099998	101.289	170.0669
125.000000	101.267	169.7670
126.500000	101.229	169.2852
128.000000	101.193	168.8321
131.500000	101.117	167.7993
132.000000	101.105	167.6539
134.000000	101.057	167.0906
136.000000	101.015	166.5408
138.000000	100.975	165.9801
140.000000	100.930	165.4045
143.000000	100.853	164.6018
145.000000	100.801	164.1029
147.500000	100.740	163.4647
150.000000	100.680	162.8620
152.500000	100.620	162.3041
155.000000	100.560	161.7378
157.500000	100.498	161.1942
160.000000	100.431	160.6521
162.500000	100.358	160.1257
165.000000	100.278	159.6171
167.500000	100.197	159.1190
170.000000	100.115	158.6295
172.500000	100.035	158.1614
175.000000	99.955	157.7143
177.500000	99.876	157.2610
180.000000	99.796	156.8133
182.500000	99.717	156.3936
185.000000	99.638	156.0062
187.500000	99.559	155.6295
190.000000	99.477	155.2305
192.500000	99.396	154.8277
195.000000	99.317	154.4533
197.500000	99.239	154.1011
200.000000	99.164	153.7638
203.000000	99.082	153.3605
206.000000	99.005	152.9503
209.000000	98.928	152.5530
212.000000	98.852	152.1830
214.000000	98.802	151.9437
218.000000	98.701	151.4902
220.000000	98.650	151.2723
224.000000	98.550	150.8356
227.000000	98.477	150.5329
230.000000	98.404	150.2460
233.000000	98.330	149.9626
236.000000	98.256	149.6939
240.000000	98.156	149.3549
243.000000	98.081	149.1050
247.000000	97.983	148.7861
250.000000	97.910	148.5651
254.000000	97.814	148.2827
258.000000	97.718	148.0033
262.000000	97.618	147.7193
265.000000	97.541	147.5212
269.000000	97.444	147.2608
272.000000	97.369	147.0405
276.000000	97.264	146.7875
280.000000	97.163	146.5984
285.000000	97.046	146.3406
290.000000	96.924	146.0581
295.000000	96.800	145.8134
300.000000	96.678	145.6134
304.000000	96.581	145.4731
307.000000	96.508	145.3718
311.000000	96.412	145.2415
315.000000	96.317	145.1144
320.000000	96.202	144.9759
325.000000	96.087	144.8713
330.000000	95.967	144.7555
335.000000	95.855	144.6434
340.000000	95.743	144.5734
345.000000	95.629	144.4930
350.000000	95.518	144.4521
355.000000	95.408	144.4178
360.000000	95.297	144.3849
365.000000	95.186	144.3832
370.000000	95.079	144.3912
375.000000	94.972	144.4005
382.000000	94.822	144.4243
387.000000	94.717	144.4431
395.000000	94.540	144.4931
400.000000	94.434	144.5380
406.000000	94.316	144.6711
412.000000	94.190	144.7958
418.000000	94.069	144.8622
425.000000	93.939	145.0158
431.000000	93.821	145.2086
437.000000	93.700	145.3691
444.000000	93.567	145.5696
450.000000	93.453	145.7433
455.000000	93.358	145.9236
462.000000	93.227	146.1518
468.000000	93.111	146.3709
475.000000	92.983	146.6722
482.000000	92.857	146.9634
487.000000	92.767	147.1705
494.000000	92.643	147.4815
500.000000	92.537	147.7542
508.000000	92.396	148.1449
515.000000	92.280	148.5183
522.000000	92.167	148.8883
530.000000	92.034	149.3342
538.000000	91.900	149.8119
545.000000	91.782	150.2220
552.000000	91.667	150.6140
560.000000	91.543	151.0857
570.000000	91.390	151.7541
580.000000	91.236	152.4337
590.000000	91.087	153.1318
600.000000	90.944	153.8643
608.000000	90.833	154.4722
615.000000	90.739	155.0099
622.000000	90.649	155.5522
630.000000	90.550	156.1707
640.000000	90.431	156.9165
650.000000	90.313	157.6106
660.000000	90.188	158.2768
670.000000	90.052	158.9735
680.000000	89.910	159.7360
690.000000	89.769	160.5649
700.000000	89.636	161.4443
710.000000	89.511	162.3445
720.000000	89.389	163.2484
730.000000	89.269	164.1582
740.000000	89.150	165.0832
750.000000	89.030	166.0427
762.000000	88.884	167.2671
775.000000	88.732	168.7241
788.000000	88.599	170.3122
800.000000	88.499	171.8383
812.000000	88.420	173.3622
825.000000	88.350	174.9670
838.000000	88.289	176.5271
850.000000	88.238	177.9360
862.000000	88.192	179.3190
875.000000	88.148	-179.2034
885.000000	88.118	-178.0766
900.000000	88.078	-176.4045
912.000000	88.052	-175.0804
925.000000	88.031	-173.6548
938.000000	88.015	-172.2357
950.000000	88.006	-170.9322
