* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 4:10:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FX700 CP100 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.484	-88.5956
20.600000	99.540	-89.3141
20.900000	99.651	-90.5864
21.200001	99.754	-91.7648
21.400000	99.819	-92.4978
21.799999	99.952	-93.9150
22.000000	100.021	-94.6230
22.400000	100.161	-96.0360
22.700001	100.262	-97.0905
23.000000	100.356	-98.1378
23.299999	100.441	-99.1622
23.600000	100.517	-100.1499
24.000000	100.606	-101.3981
24.299999	100.669	-102.2883
24.700001	100.751	-103.4399
25.000000	100.814	-104.3008
25.400000	100.900	-105.4657
25.799999	100.983	-106.6475
26.200001	101.062	-107.8216
26.500000	101.119	-108.6811
26.900000	101.194	-109.7897
27.200001	101.249	-110.5964
27.600000	101.323	-111.6496
28.000000	101.395	-112.6878
28.500000	101.481	-113.9678
29.000000	101.560	-115.2237
29.500000	101.635	-116.4572
30.000000	101.705	-117.6722
30.400000	101.758	-118.6262
30.700001	101.795	-119.3256
31.100000	101.843	-120.2317
31.500000	101.890	-121.1092
32.000000	101.949	-122.1790
32.500000	102.007	-123.2346
33.000000	102.061	-124.2799
33.500000	102.111	-125.3113
34.000000	102.159	-126.3302
34.500000	102.206	-127.3411
35.000000	102.249	-128.3400
35.500000	102.290	-129.3134
36.000000	102.328	-130.2543
36.500000	102.366	-131.1728
37.000000	102.403	-132.0846
37.500000	102.437	-132.9919
38.200001	102.479	-134.2252
38.700001	102.508	-135.0634
39.500000	102.555	-136.3530
40.000000	102.584	-137.1534
40.599998	102.616	-138.1174
41.200001	102.644	-139.0677
41.799999	102.669	-139.9842
42.500000	102.700	-141.0139
43.099998	102.727	-141.8892
43.700001	102.749	-142.7680
44.400002	102.770	-143.7742
45.000000	102.788	-144.6041
45.500000	102.807	-145.2820
46.200001	102.833	-146.2248
46.799999	102.849	-147.0142
47.500000	102.860	-147.8873
48.200001	102.870	-148.7281
48.700001	102.878	-149.3328
49.400002	102.890	-150.1916
50.000000	102.900	-150.9162
50.799999	102.913	-151.8403
51.500000	102.924	-152.6246
52.200001	102.932	-153.4079
53.000000	102.939	-154.2991
53.799999	102.945	-155.1701
54.500000	102.952	-155.9109
55.200001	102.957	-156.6299
56.000000	102.962	-157.4281
57.000000	102.962	-158.4050
58.000000	102.958	-159.3696
59.000000	102.952	-160.3431
60.000000	102.943	-161.3017
60.799999	102.937	-162.0354
61.500000	102.932	-162.6615
62.200001	102.929	-163.2717
63.000000	102.928	-163.9478
64.000000	102.926	-164.7828
65.000000	102.918	-165.6064
66.000000	102.907	-166.4188
67.000000	102.895	-167.2174
68.000000	102.880	-167.9718
69.000000	102.866	-168.7094
70.000000	102.851	-169.4573
71.000000	102.835	-170.1960
72.000000	102.816	-170.9019
73.000000	102.796	-171.5827
74.000000	102.780	-172.2732
75.000000	102.766	-172.9757
76.199997	102.743	-173.7621
77.500000	102.712	-174.5753
78.800003	102.673	-175.4733
80.000000	102.651	-176.3176
81.199997	102.641	-177.1469
82.500000	102.609	-177.8518
83.800003	102.573	-178.4947
85.000000	102.552	-179.1690
86.199997	102.539	-179.9070
87.500000	102.497	179.4536
88.500000	102.451	179.0587
90.000000	102.379	178.3489
91.199997	102.355	177.7046
92.500000	102.354	177.0207
93.800003	102.338	176.4241
95.000000	102.305	175.8779
96.199997	102.274	175.3095
97.500000	102.245	174.6801
98.800003	102.212	174.0604
100.000000	102.178	173.5014
101.500000	102.136	172.8143
103.000000	102.095	172.1240
104.400002	102.057	171.5068
106.000000	102.014	170.8916
107.500000	101.970	170.3286
109.000000	101.921	169.7349
110.599998	101.872	169.0981
112.000000	101.831	168.5572
113.800003	101.778	167.8792
115.000000	101.741	167.4407
117.199997	101.670	166.6572
