* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:54:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FXT200LTD CP100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.227	-89.1917
20.600000	97.277	-89.8280
20.900000	97.377	-90.9432
21.200001	97.470	-91.9455
21.400000	97.532	-92.5542
21.799999	97.664	-93.7162
22.000000	97.736	-94.3017
22.400000	97.889	-95.5016
22.700001	98.004	-96.4351
23.000000	98.111	-97.3972
23.299999	98.207	-98.3638
23.600000	98.290	-99.3088
24.000000	98.384	-100.5015
24.299999	98.447	-101.3374
24.700001	98.529	-102.3941
25.000000	98.592	-103.1700
25.400000	98.680	-104.2107
25.799999	98.769	-105.2611
26.200001	98.855	-106.2962
26.500000	98.919	-107.0473
26.900000	99.005	-108.0127
27.200001	99.068	-108.7203
27.600000	99.151	-109.6598
28.000000	99.227	-110.6004
28.500000	99.311	-111.7534
29.000000	99.388	-112.8515
29.500000	99.469	-113.9167
30.000000	99.553	-115.0132
30.400000	99.618	-115.9335
30.700001	99.660	-116.6376
31.100000	99.708	-117.5606
31.500000	99.748	-118.4346
32.000000	99.796	-119.4411
32.500000	99.849	-120.3797
33.000000	99.909	-121.2984
33.500000	99.973	-122.2245
34.000000	100.036	-123.1605
34.500000	100.096	-124.0904
35.000000	100.151	-124.9898
35.500000	100.204	-125.8377
36.000000	100.256	-126.6382
36.500000	100.308	-127.4189
37.000000	100.358	-128.2054
37.500000	100.400	-128.9944
38.200001	100.451	-130.0651
38.700001	100.487	-130.8050
39.500000	100.552	-132.0070
40.000000	100.592	-132.7705
40.599998	100.633	-133.6564
41.200001	100.670	-134.4852
41.799999	100.703	-135.2798
42.500000	100.738	-136.2021
43.099998	100.767	-136.9965
43.700001	100.799	-137.7908
44.400002	100.839	-138.7029
45.000000	100.873	-139.4500
45.500000	100.901	-140.0458
46.200001	100.937	-140.8683
46.799999	100.963	-141.5840
47.500000	100.985	-142.4118
48.200001	101.007	-143.1988
48.700001	101.023	-143.7357
49.400002	101.046	-144.4639
50.000000	101.062	-145.0704
50.799999	101.082	-145.8711
51.500000	101.103	-146.5932
52.200001	101.124	-147.3297
53.000000	101.145	-148.1258
53.799999	101.163	-148.8318
54.500000	101.180	-149.4205
55.200001	101.198	-150.0486
56.000000	101.212	-150.8213
57.000000	101.225	-151.7664
58.000000	101.241	-152.6564
59.000000	101.257	-153.5052
60.000000	101.277	-154.3001
60.799999	101.296	-154.9517
61.500000	101.309	-155.5278
