* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:56:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: JVC HA-FXT200LTD CP100 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.919	-117.2374
20.600000	98.955	-117.7110
20.900000	99.027	-118.5446
21.200001	99.091	-119.3063
21.400000	99.129	-119.7801
21.799999	99.201	-120.7059
22.000000	99.235	-121.1751
22.400000	99.301	-122.1183
22.700001	99.348	-122.8221
23.000000	99.394	-123.5216
23.299999	99.441	-124.2160
23.600000	99.489	-124.9068
24.000000	99.554	-125.8239
24.299999	99.602	-126.5065
24.700001	99.665	-127.4006
25.000000	99.709	-128.0506
25.400000	99.766	-128.8831
25.799999	99.820	-129.6800
26.200001	99.871	-130.4546
26.500000	99.908	-131.0297
26.900000	99.954	-131.7932
27.200001	99.986	-132.3617
27.600000	100.027	-133.1079
28.000000	100.067	-133.8342
28.500000	100.118	-134.7143
29.000000	100.170	-135.5750
29.500000	100.221	-136.4270
30.000000	100.268	-137.2704
30.400000	100.302	-137.9326
30.700001	100.325	-138.4184
31.100000	100.354	-139.0503
31.500000	100.382	-139.6669
32.000000	100.418	-140.4258
32.500000	100.454	-141.1806
33.000000	100.488	-141.9283
33.500000	100.520	-142.6548
34.000000	100.550	-143.3489
34.500000	100.579	-144.0145
35.000000	100.606	-144.6646
35.500000	100.630	-145.3073
36.000000	100.650	-145.9395
36.500000	100.669	-146.5574
37.000000	100.690	-147.1665
37.500000	100.713	-147.7773
38.200001	100.746	-148.6339
38.700001	100.767	-149.2277
39.500000	100.798	-150.1208
40.000000	100.817	-150.6610
40.599998	100.840	-151.3153
41.200001	100.859	-151.9718
41.799999	100.876	-152.6098
42.500000	100.893	-153.3298
43.099998	100.906	-153.9428
43.700001	100.916	-154.5477
44.400002	100.927	-155.2281
45.000000	100.940	-155.8044
45.500000	100.952	-156.2946
46.200001	100.963	-156.9731
