* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 12:47:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JVC HA-FXZ200 CP100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.238	-110.8759
20.600000	99.277	-111.4834
20.900000	99.354	-112.5665
21.200001	99.425	-113.5912
21.400000	99.468	-114.2425
21.799999	99.548	-115.5186
22.000000	99.587	-116.1523
22.400000	99.659	-117.3827
22.700001	99.711	-118.2621
23.000000	99.763	-119.1116
23.299999	99.816	-119.9443
23.600000	99.871	-120.7737
24.000000	99.942	-121.8902
24.299999	99.993	-122.7363
24.700001	100.056	-123.8612
25.000000	100.098	-124.6861
25.400000	100.151	-125.7438
25.799999	100.201	-126.7503
26.200001	100.252	-127.7210
26.500000	100.290	-128.4394
26.900000	100.340	-129.3962
27.200001	100.375	-130.1124
27.600000	100.420	-131.0539
28.000000	100.460	-131.9625
28.500000	100.508	-133.0449
29.000000	100.555	-134.0984
29.500000	100.598	-135.1613
30.000000	100.634	-136.2316
30.400000	100.661	-137.0682
30.700001	100.682	-137.6750
31.100000	100.714	-138.4613
31.500000	100.749	-139.2325
32.000000	100.789	-140.1737
32.500000	100.816	-141.0569
33.000000	100.835	-141.8839
33.500000	100.858	-142.7578
34.000000	100.882	-143.8182
34.500000	100.893	-145.0533
35.000000	100.884	-146.2533
35.500000	100.872	-147.1670
36.000000	100.888	-147.7556
36.500000	100.941	-148.2071
37.000000	101.004	-148.7411
37.500000	101.047	-149.4084
38.200001	101.061	-150.4112
38.700001	101.061	-151.1085
39.500000	101.078	-152.2602
40.000000	101.093	-152.9974
40.599998	101.107	-153.8313
41.200001	101.119	-154.5965
41.799999	101.129	-155.3488
42.500000	101.138	-156.2559
43.099998	101.143	-157.0393
43.700001	101.147	-157.7995
44.400002	101.151	-158.6430
45.000000	101.152	-159.3414
45.500000	101.152	-159.9233
46.200001	101.150	-160.7390
46.799999	101.148	-161.4168
47.500000	101.149	-162.1729
48.200001	101.152	-162.9173
48.700001	101.152	-163.4474
49.400002	101.147	-164.1755
50.000000	101.143	-164.7880
50.799999	101.138	-165.5971
51.500000	101.135	-166.2795
52.200001	101.135	-166.9392
53.000000	101.131	-167.7111
53.799999	101.115	-168.4883
54.500000	101.097	-169.1383
55.200001	101.085	-169.8005
56.000000	101.074	-170.5896
57.000000	101.054	-171.4406
58.000000	101.045	-172.1478
59.000000	101.033	-172.9580
60.000000	101.003	-173.7912
60.799999	100.982	-174.3891
61.500000	100.970	-174.8821
62.200001	100.960	-175.3739
63.000000	100.946	-175.9507
64.000000	100.922	-176.6833
65.000000	100.898	-177.4078
66.000000	100.874	-178.1187
67.000000	100.849	-178.8119
68.000000	100.823	-179.4915
69.000000	100.796	179.8530
70.000000	100.773	179.2155
71.000000	100.749	178.5689
72.000000	100.716	177.9400
73.000000	100.679	177.3436
74.000000	100.645	176.7410
75.000000	100.609	176.1370
76.199997	100.566	175.4348
77.500000	100.521	174.6617
78.800003	100.484	173.9904
80.000000	100.465	173.4327
81.199997	100.431	172.8177
82.500000	100.379	172.1449
83.800003	100.332	171.4610
85.000000	100.305	170.8619
86.199997	100.282	170.2440
87.500000	100.234	169.6371
88.500000	100.194	169.3535
90.000000	100.148	168.9526
91.199997	100.094	168.3959
92.500000	100.027	167.6843
93.800003	99.978	167.0734
95.000000	99.947	166.5910
96.199997	99.916	166.1304
97.500000	99.875	165.6169
98.800003	99.825	165.0650
100.000000	99.778	164.5588
101.500000	99.720	163.9725
103.000000	99.660	163.4121
104.400002	99.606	162.8968
106.000000	99.549	162.3264
107.500000	99.494	161.8028
109.000000	99.436	161.2893
110.599998	99.371	160.7549
112.000000	99.316	160.3036
113.800003	99.246	159.7386
115.000000	99.199	159.3702
117.199997	99.111	158.7136
118.000000	99.080	158.4832
120.599998	98.977	157.7501
122.000000	98.920	157.3681
124.099998	98.839	156.8145
125.000000	98.805	156.5785
126.500000	98.749	156.1879
128.000000	98.693	155.8011
131.500000	98.563	154.9572
132.000000	98.544	154.8395
134.000000	98.468	154.3599
136.000000	98.390	153.9021
138.000000	98.316	153.4943
140.000000	98.243	153.1102
143.000000	98.129	152.4893
145.000000	98.052	152.0661
147.500000	97.962	151.5721
150.000000	97.871	151.1403
152.500000	97.768	150.7035
155.000000	97.669	150.2821
157.500000	97.576	149.9110
160.000000	97.479	149.5234
162.500000	97.374	149.1550
165.000000	97.264	148.8055
167.500000	97.152	148.4695
170.000000	97.040	148.1454
172.500000	96.928	147.8380
175.000000	96.817	147.5491
177.500000	96.708	147.2749
180.000000	96.600	147.0101
182.500000	96.491	146.7549
185.000000	96.382	146.5144
187.500000	96.272	146.2866
190.000000	96.164	146.0726
192.500000	96.057	145.8660
195.000000	95.951	145.6641
197.500000	95.847	145.4789
200.000000	95.746	145.3168
203.000000	95.633	145.1432
206.000000	95.524	144.9775
209.000000	95.417	144.8252
212.000000	95.312	144.6950
214.000000	95.242	144.6102
218.000000	95.103	144.4474
220.000000	95.033	144.3785
224.000000	94.895	144.2570
227.000000	94.793	144.1818
230.000000	94.691	144.1279
233.000000	94.589	144.0873
236.000000	94.489	144.0541
240.000000	94.357	144.0260
243.000000	94.257	144.0194
247.000000	94.125	144.0292
250.000000	94.027	144.0585
254.000000	93.896	144.1282
258.000000	93.763	144.2090
