* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 12:48:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JVC HA-FXZ200 CP100 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.854	-63.9266
20.600000	91.943	-64.5836
20.900000	92.119	-65.7456
21.200001	92.277	-66.8132
21.400000	92.376	-67.4600
21.799999	92.572	-68.6556
22.000000	92.673	-69.2275
22.400000	92.881	-70.3432
22.700001	93.039	-71.1902
23.000000	93.191	-72.0776
23.299999	93.332	-73.0035
23.600000	93.459	-73.9483
24.000000	93.608	-75.1926
24.299999	93.710	-76.0826
24.700001	93.842	-77.1992
25.000000	93.944	-77.9994
25.400000	94.088	-79.0533
25.799999	94.236	-80.1284
26.200001	94.381	-81.2326
26.500000	94.486	-82.0671
26.900000	94.620	-83.1649
27.200001	94.718	-83.9630
27.600000	94.847	-84.9846
28.000000	94.978	-85.9609
28.500000	95.141	-87.1363
29.000000	95.296	-88.2845
29.500000	95.437	-89.4191
30.000000	95.566	-90.5538
30.400000	95.666	-91.4784
30.700001	95.743	-92.1889
31.100000	95.846	-93.1507
31.500000	95.951	-94.0921
32.000000	96.081	-95.1563
32.500000	96.215	-96.0610
33.000000	96.350	-96.9331
33.500000	96.467	-97.9827
34.000000	96.538	-99.2936
34.500000	96.554	-100.6815
35.000000	96.552	-101.8625
35.500000	96.598	-102.7207
36.000000	96.726	-103.4283
36.500000	96.909	-104.2252
37.000000	97.084	-105.1720
37.500000	97.212	-106.1350
38.200001	97.326	-107.3048
38.700001	97.393	-108.0789
39.500000	97.508	-109.4648
40.000000	97.582	-110.3846
40.599998	97.671	-111.4249
41.200001	97.762	-112.3805
41.799999	97.848	-113.3136
42.500000	97.937	-114.4184
43.099998	98.008	-115.3736
43.700001	98.081	-116.3288
44.400002	98.166	-117.4218
45.000000	98.234	-118.3113
45.500000	98.288	-119.0173
46.200001	98.364	-119.9895
46.799999	98.429	-120.8424
47.500000	98.498	-121.8531
48.200001	98.563	-122.8391
48.700001	98.607	-123.5181
49.400002	98.668	-124.4463
50.000000	98.718	-125.2341
50.799999	98.782	-126.2804
51.500000	98.838	-127.1926
52.200001	98.890	-128.0893
53.000000	98.948	-129.0727
53.799999	99.003	-130.0160
54.500000	99.052	-130.8335
55.200001	99.103	-131.6627
56.000000	99.159	-132.6185
57.000000	99.217	-133.7377
58.000000	99.266	-134.7373
