* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 29, 24 9:20:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Massdrop Plus L CP100
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.025	60.4576
20.600000	94.063	59.9819
20.900000	94.136	59.1349
21.200001	94.201	58.3377
21.400000	94.239	57.8347
21.799999	94.311	56.8567
22.000000	94.347	56.3717
22.400000	94.417	55.4210
22.700001	94.470	54.7225
23.000000	94.524	54.0233
23.299999	94.577	53.3161
23.600000	94.628	52.6005
24.000000	94.691	51.6431
24.299999	94.734	50.9378
24.700001	94.788	50.0335
25.000000	94.828	49.3872
25.400000	94.881	48.5613
25.799999	94.936	47.7575
26.200001	94.990	46.9602
26.500000	95.028	46.3648
26.900000	95.075	45.5786
27.200001	95.109	44.9983
27.600000	95.152	44.2372
28.000000	95.195	43.4859
28.500000	95.248	42.5540
29.000000	95.298	41.6353
29.500000	95.345	40.7432
30.000000	95.389	39.8825
30.400000	95.424	39.2102
30.700001	95.449	38.7114
31.100000	95.481	38.0511
31.500000	95.513	37.3981
32.000000	95.550	36.5975
32.500000	95.587	35.8172
33.000000	95.622	35.0541
33.500000	95.656	34.3040
34.000000	95.688	33.5677
34.500000	95.718	32.8493
35.000000	95.747	32.1507
35.500000	95.775	31.4690
36.000000	95.801	30.7975
36.500000	95.826	30.1310
37.000000	95.847	29.4682
37.500000	95.867	28.8134
38.200001	95.895	27.9232
38.700001	95.916	27.3090
39.500000	95.952	26.3468
40.000000	95.970	25.7525
40.599998	95.984	25.0592
41.200001	95.992	24.4038
41.799999	96.003	23.7734
42.500000	96.025	23.0219
43.099998	96.046	22.3480
43.700001	96.065	21.6778
44.400002	96.083	20.9396
45.000000	96.097	20.3359
45.500000	96.108	19.8333
46.200001	96.122	19.1287
46.799999	96.133	18.5465
47.500000	96.143	17.9122
48.200001	96.152	17.3134
48.700001	96.158	16.8883
49.400002	96.167	16.2619
50.000000	96.174	15.6796
50.799999	96.176	14.8881
51.500000	96.173	14.2661
52.200001	96.172	13.7267
53.000000	96.182	13.1377
53.799999	96.200	12.5147
54.500000	96.217	11.9537
55.200001	96.227	11.4162
56.000000	96.228	10.8414
57.000000	96.213	10.1328
58.000000	96.200	9.4292
59.000000	96.208	8.7095
60.000000	96.216	7.9615
60.799999	96.211	7.4124
61.500000	96.204	6.9681
62.200001	96.199	6.5248
63.000000	96.198	6.0012
64.000000	96.202	5.3043
65.000000	96.200	4.5745
66.000000	96.189	3.9084
67.000000	96.183	3.3151
68.000000	96.178	2.7382
69.000000	96.169	2.2025
70.000000	96.159	1.6723
71.000000	96.148	1.1014
72.000000	96.136	0.5125
73.000000	96.124	-0.0832
74.000000	96.112	-0.6256
75.000000	96.104	-1.0949
76.199997	96.088	-1.6089
77.500000	96.045	-2.2449
78.800003	95.992	-2.8636
80.000000	96.005	-3.3737
81.199997	96.034	-3.9597
82.500000	96.022	-4.4821
83.800003	96.007	-5.0378
85.000000	95.996	-5.5717
86.199997	95.986	-5.9755
87.500000	95.982	-6.5542
88.500000	95.982	-6.9605
90.000000	95.995	-7.3411
91.199997	95.966	-7.9180
92.500000	95.903	-8.7224
93.800003	95.872	-9.4066
95.000000	95.860	-9.9250
96.199997	95.844	-10.4081
97.500000	95.818	-10.9030
98.800003	95.794	-11.3830
