* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 29, 24 9:27:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Massdrop Plus R CP100
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.726	62.4443
20.600000	93.765	61.9733
20.900000	93.840	61.1349
21.200001	93.905	60.3456
21.400000	93.944	59.8469
21.799999	94.016	58.8730
22.000000	94.051	58.3877
22.400000	94.119	57.4339
22.700001	94.168	56.7387
23.000000	94.217	56.0578
23.299999	94.265	55.3896
23.600000	94.314	54.7315
24.000000	94.380	53.8661
24.299999	94.429	53.2242
24.700001	94.495	52.3774
25.000000	94.543	51.7490
25.400000	94.605	50.9204
25.799999	94.665	50.1028
26.200001	94.721	49.2974
26.500000	94.760	48.7029
26.900000	94.811	47.9257
27.200001	94.847	47.3555
27.600000	94.895	46.6127
28.000000	94.942	45.8885
28.500000	94.999	45.0066
29.000000	95.054	44.1478
29.500000	95.106	43.3106
30.000000	95.156	42.4913
30.400000	95.194	41.8463
30.700001	95.223	41.3685
31.100000	95.259	40.7415
31.500000	95.294	40.1282
32.000000	95.334	39.3809
32.500000	95.371	38.6460
33.000000	95.405	37.9097
33.500000	95.439	37.1655
34.000000	95.475	36.4211
34.500000	95.512	35.6951
35.000000	95.549	35.0051
35.500000	95.585	34.3569
36.000000	95.618	33.7370
36.500000	95.647	33.1217
37.000000	95.672	32.4947
37.500000	95.695	31.8608
38.200001	95.730	30.9929
38.700001	95.757	30.3957
39.500000	95.795	29.4662
40.000000	95.813	28.8989
40.599998	95.834	28.2151
41.200001	95.864	27.4776
41.799999	95.900	26.6732
42.500000	95.933	25.7733
43.099998	95.952	25.1734
43.700001	95.972	24.7161
44.400002	95.998	24.1839
45.000000	96.014	23.6260
45.500000	96.020	23.1173
46.200001	96.028	22.4261
46.799999	96.044	21.8730
47.500000	96.069	21.2254
48.200001	96.086	20.5671
48.700001	96.091	20.1185
49.400002	96.095	19.5331
50.000000	96.103	19.0297
50.799999	96.117	18.3237
51.500000	96.132	17.7381
52.200001	96.156	17.2209
53.000000	96.193	16.6421
53.799999	96.224	16.0220
