* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 29, 24 9:15:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CP100
* Measurement: Mee Pinnacle P2 L CP100
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.021	-100.4506
20.600000	95.067	-101.0775
20.900000	95.157	-102.1937
21.200001	95.238	-103.2447
21.400000	95.288	-103.9083
21.799999	95.387	-105.2016
22.000000	95.436	-105.8451
22.400000	95.538	-107.1102
22.700001	95.615	-108.0380
23.000000	95.691	-108.9577
23.299999	95.764	-109.8736
23.600000	95.832	-110.7838
24.000000	95.911	-111.9756
24.299999	95.960	-112.8353
24.700001	96.015	-113.9142
25.000000	96.053	-114.6694
25.400000	96.104	-115.6206
25.799999	96.161	-116.5467
26.200001	96.220	-117.4838
26.500000	96.264	-118.2009
26.900000	96.321	-119.1661
27.200001	96.361	-119.8840
27.600000	96.411	-120.8205
28.000000	96.460	-121.7327
28.500000	96.520	-122.8514
29.000000	96.573	-123.9490
29.500000	96.620	-125.0081
30.000000	96.663	-126.0174
30.400000	96.699	-126.8011
30.700001	96.725	-127.3859
31.100000	96.760	-128.1694
31.500000	96.793	-128.9532
32.000000	96.829	-129.9119
32.500000	96.861	-130.8271
33.000000	96.894	-131.7016
33.500000	96.927	-132.5533
34.000000	96.960	-133.3945
34.500000	96.989	-134.2219
35.000000	97.016	-135.0275
35.500000	97.040	-135.8095
36.000000	97.063	-136.5748
36.500000	97.082	-137.3298
37.000000	97.099	-138.0720
37.500000	97.113	-138.7926
38.200001	97.136	-139.7605
38.700001	97.154	-140.4367
39.500000	97.180	-141.5164
40.000000	97.191	-142.1793
40.599998	97.201	-142.9532
41.200001	97.212	-143.7202
41.799999	97.220	-144.4905
42.500000	97.226	-145.3536
43.099998	97.231	-146.0221
43.700001	97.238	-146.6387
44.400002	97.250	-147.3442
45.000000	97.257	-147.9562
45.500000	97.259	-148.4642
46.200001	97.261	-149.1641
46.799999	97.262	-149.7553
47.500000	97.264	-150.4341
48.200001	97.268	-151.0948
48.700001	97.271	-151.5524
49.400002	97.270	-152.1589
50.000000	97.260	-152.6251
50.799999	97.243	-153.1804
51.500000	97.234	-153.6949
52.200001	97.231	-154.2966
53.000000	97.227	-155.0016
53.799999	97.224	-155.6100
54.500000	97.223	-156.0920
55.200001	97.219	-156.5801
56.000000	97.211	-157.1494
57.000000	97.207	-157.8401
58.000000	97.206	-158.4703
59.000000	97.194	-159.0897
60.000000	97.168	-159.6702
60.799999	97.152	-160.0526
61.500000	97.146	-160.3784
62.200001	97.139	-160.7513
63.000000	97.124	-161.2428
64.000000	97.097	-161.8751
65.000000	97.078	-162.4237
66.000000	97.066	-162.9122
67.000000	97.048	-163.3731
68.000000	97.030	-163.8144
69.000000	97.011	-164.2729
70.000000	96.987	-164.7044
71.000000	96.966	-165.0834
72.000000	96.951	-165.4727
73.000000	96.941	-165.9319
74.000000	96.932	-166.4481
75.000000	96.912	-166.8604
76.199997	96.869	-167.1690
77.500000	96.799	-167.4361
78.800003	96.782	-167.6299
80.000000	96.805	-167.9887
81.199997	96.793	-168.4961
82.500000	96.767	-169.0383
83.800003	96.769	-169.4909
85.000000	96.771	-169.9976
86.199997	96.731	-170.4964
87.500000	96.672	-170.5979
88.500000	96.633	-170.6080
90.000000	96.562	-170.8735
91.199997	96.558	-171.0650
92.500000	96.596	-171.3508
93.800003	96.597	-171.6369
95.000000	96.580	-171.8323
96.199997	96.564	-172.0334
97.500000	96.543	-172.2991
98.800003	96.520	-172.5751
100.000000	96.499	-172.8011
101.500000	96.472	-173.0510
103.000000	96.446	-173.3047
104.400002	96.423	-173.5372
106.000000	96.398	-173.7881
107.500000	96.375	-174.0061
109.000000	96.352	-174.2077
110.599998	96.328	-174.4111
112.000000	96.307	-174.5887
113.800003	96.280	-174.8158
115.000000	96.263	-174.9595
117.199997	96.232	-175.2150
118.000000	96.222	-175.3070
120.599998	96.185	-175.5873
122.000000	96.165	-175.7146
124.099998	96.139	-175.9015
125.000000	96.128	-175.9804
126.500000	96.112	-176.1067
128.000000	96.097	-176.2310
131.500000	96.064	-176.5061
132.000000	96.059	-176.5432
134.000000	96.041	-176.6904
136.000000	96.022	-176.8294
138.000000	96.004	-176.9582
140.000000	95.986	-177.0800
143.000000	95.960	-177.2526
145.000000	95.943	-177.3629
147.500000	95.922	-177.4915
150.000000	95.901	-177.6117
152.500000	95.878	-177.7308
155.000000	95.856	-177.8370
157.500000	95.838	-177.9262
160.000000	95.816	-178.0283
162.500000	95.785	-178.1235
165.000000	95.751	-178.2081
167.500000	95.715	-178.2851
170.000000	95.679	-178.3567
172.500000	95.645	-178.4216
175.000000	95.610	-178.4847
177.500000	95.577	-178.5461
180.000000	95.543	-178.6018
182.500000	95.510	-178.6511
185.000000	95.477	-178.6967
187.500000	95.445	-178.7399
190.000000	95.413	-178.7789
192.500000	95.382	-178.8104
195.000000	95.351	-178.8382
197.500000	95.321	-178.8640
200.000000	95.295	-178.8870
203.000000	95.272	-178.9082
206.000000	95.254	-178.9222
209.000000	95.236	-178.9315
212.000000	95.219	-178.9401
214.000000	95.209	-178.9451
218.000000	95.189	-178.9523
220.000000	95.178	-178.9552
224.000000	95.157	-178.9625
227.000000	95.141	-178.9660
230.000000	95.123	-178.9620
233.000000	95.106	-178.9509
236.000000	95.089	-178.9339
240.000000	95.066	-178.9036
243.000000	95.049	-178.8775
247.000000	95.025	-178.8339
250.000000	95.007	-178.7904
254.000000	94.980	-178.7211
258.000000	94.954	-178.6405
262.000000	94.929	-178.5482
265.000000	94.912	-178.4735
269.000000	94.892	-178.3732
272.000000	94.880	-178.3037
276.000000	94.865	-178.2226
280.000000	94.851	-178.1552
285.000000	94.832	-178.0948
290.000000	94.810	-178.0513
295.000000	94.787	-178.0117
300.000000	94.763	-177.9687
304.000000	94.743	-177.9323
307.000000	94.726	-177.9048
311.000000	94.704	-177.8668
315.000000	94.682	-177.8266
320.000000	94.654	-177.7691
325.000000	94.625	-177.6996
330.000000	94.595	-177.6208
335.000000	94.566	-177.5325
340.000000	94.537	-177.4363
345.000000	94.509	-177.3314
350.000000	94.480	-177.2179
355.000000	94.450	-177.1015
360.000000	94.421	-176.9832
365.000000	94.393	-176.8616
370.000000	94.365	-176.7314
375.000000	94.337	-176.5956
382.000000	94.299	-176.4044
387.000000	94.272	-176.2647
395.000000	94.228	-176.0369
400.000000	94.200	-175.8910
406.000000	94.167	-175.7110
412.000000	94.135	-175.5249
418.000000	94.103	-175.3346
425.000000	94.065	-175.1085
431.000000	94.032	-174.9085
437.000000	94.000	-174.7024
444.000000	93.962	-174.4543
450.000000	93.930	-174.2370
455.000000	93.903	-174.0533
462.000000	93.866	-173.7919
468.000000	93.834	-173.5640
475.000000	93.797	-173.2903
482.000000	93.760	-173.0104
487.000000	93.734	-172.8074
494.000000	93.697	-172.5179
500.000000	93.666	-172.2654
508.000000	93.624	-171.9217
515.000000	93.589	-171.6138
522.000000	93.553	-171.3007
530.000000	93.513	-170.9376
538.000000	93.473	-170.5676
545.000000	93.438	-170.2359
552.000000	93.403	-169.8987
560.000000	93.364	-169.5088
570.000000	93.315	-169.0100
