* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 5:21:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; SednaEarfit MAX ASMR
* Measurement: Oriolus Isabellae Max ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.441	-69.0482
20.600000	88.537	-69.7369
20.900000	88.724	-70.9875
21.200001	88.881	-72.2209
21.400000	88.965	-72.9989
21.799999	89.097	-74.4047
22.000000	89.154	-75.0035
22.400000	89.270	-75.9426
22.700001	89.382	-76.4974
23.000000	89.528	-77.0786
23.299999	89.698	-77.8251
23.600000	89.875	-78.7953
24.000000	90.090	-80.3987
24.299999	90.217	-81.6907
24.700001	90.341	-83.2974
25.000000	90.413	-84.2989
25.400000	90.509	-85.3463
25.799999	90.622	-86.2081
26.200001	90.751	-87.0722
26.500000	90.848	-87.7783
26.900000	90.968	-88.7761
27.200001	91.050	-89.5175
27.600000	91.159	-90.4505
28.000000	91.277	-91.3417
28.500000	91.437	-92.5185
29.000000	91.586	-93.8479
29.500000	91.702	-95.2358
30.000000	91.790	-96.5071
30.400000	91.860	-97.4067
30.700001	91.919	-98.0482
31.100000	92.008	-98.9249
31.500000	92.098	-99.8507
32.000000	92.197	-101.0121
32.500000	92.283	-102.0539
33.000000	92.375	-102.9628
33.500000	92.486	-103.8789
34.000000	92.599	-104.9265
34.500000	92.691	-106.0378
35.000000	92.762	-107.0296
35.500000	92.834	-107.8126
36.000000	92.925	-108.5172
36.500000	93.027	-109.3561
37.000000	93.110	-110.4165
37.500000	93.159	-111.5828
38.200001	93.199	-113.0594
38.700001	93.246	-113.9381
39.500000	93.369	-115.2805
40.000000	93.444	-116.1182
40.599998	93.510	-116.9865
41.200001	93.571	-117.6594
41.799999	93.651	-118.3509
42.500000	93.750	-119.4564
43.099998	93.807	-120.5390
43.700001	93.844	-121.4760
44.400002	93.897	-122.3546
45.000000	93.954	-123.1121
45.500000	93.998	-123.8144
46.200001	94.049	-124.8459
46.799999	94.094	-125.7253
47.500000	94.149	-126.7236
48.200001	94.201	-127.6126
48.700001	94.241	-128.1663
49.400002	94.304	-128.9526
50.000000	94.349	-129.7469
50.799999	94.374	-130.8665
51.500000	94.384	-131.6875
52.200001	94.420	-132.3813
53.000000	94.491	-133.2224
53.799999	94.554	-134.1260
54.500000	94.588	-134.8598
55.200001	94.616	-135.5439
56.000000	94.655	-136.4180
57.000000	94.694	-137.8176
58.000000	94.676	-139.0895
59.000000	94.667	-139.6860
60.000000	94.744	-140.1159
60.799999	94.838	-140.8083
61.500000	94.904	-141.7212
62.200001	94.933	-142.7855
63.000000	94.924	-143.9218
64.000000	94.897	-144.9898
65.000000	94.885	-145.7424
66.000000	94.887	-146.3583
67.000000	94.902	-146.9967
68.000000	94.926	-147.6637
69.000000	94.956	-148.3742
70.000000	94.967	-149.1888
71.000000	94.948	-150.0039
72.000000	94.919	-150.6527
73.000000	94.904	-151.1434
74.000000	94.924	-151.7212
75.000000	94.966	-152.6129
76.199997	94.988	-153.7899
77.500000	94.973	-154.7461
78.800003	94.925	-155.6287
80.000000	94.891	-156.2800
81.199997	94.928	-156.8871
82.500000	94.989	-157.6481
83.800003	95.022	-158.3308
85.000000	95.013	-158.9235
86.199997	94.986	-159.4427
87.500000	94.958	-159.9701
88.500000	94.932	-160.5063
90.000000	94.870	-161.4962
91.199997	94.861	-162.0876
92.500000	94.922	-162.6400
93.800003	94.988	-163.1741
95.000000	95.003	-163.6590
96.199997	94.973	-164.1418
97.500000	94.937	-164.7065
98.800003	94.917	-165.2237
100.000000	94.906	-165.6758
101.500000	94.889	-166.3676
103.000000	94.877	-167.0604
104.400002	94.854	-167.6437
106.000000	94.824	-168.2820
107.500000	94.799	-168.8601
109.000000	94.775	-169.3805
110.599998	94.755	-169.9244
112.000000	94.736	-170.3566
113.800003	94.728	-170.9202
115.000000	94.727	-171.2799
117.199997	94.690	-171.8771
118.000000	94.666	-172.1446
120.599998	94.594	-173.0003
122.000000	94.566	-173.3863
124.099998	94.527	-174.0087
125.000000	94.510	-174.2721
126.500000	94.484	-174.6774
128.000000	94.462	-175.0623
131.500000	94.395	-175.9643
132.000000	94.388	-176.0787
134.000000	94.356	-176.5552
136.000000	94.306	-177.0957
138.000000	94.269	-177.5923
140.000000	94.244	-177.9906
143.000000	94.220	-178.5400
145.000000	94.186	-178.9600
147.500000	94.127	-179.4942
150.000000	94.084	-179.9639
152.500000	94.049	179.6544
155.000000	94.023	179.3047
157.500000	93.988	178.8505
160.000000	93.916	178.4233
162.500000	93.848	178.0544
165.000000	93.785	177.6739
167.500000	93.724	177.3762
170.000000	93.659	177.0681
172.500000	93.593	176.7720
175.000000	93.532	176.5117
177.500000	93.465	176.2068
180.000000	93.408	175.8932
182.500000	93.358	175.5763
185.000000	93.286	175.3347
187.500000	93.212	175.1910
190.000000	93.161	175.0334
192.500000	93.111	174.8591
195.000000	93.060	174.6292
197.500000	93.010	174.3959
200.000000	92.957	174.2142
203.000000	92.888	173.9515
206.000000	92.830	173.6760
209.000000	92.786	173.5330
212.000000	92.739	173.4339
214.000000	92.705	173.3360
218.000000	92.634	173.1107
220.000000	92.599	172.9687
224.000000	92.543	172.7192
227.000000	92.509	172.6765
230.000000	92.467	172.6130
233.000000	92.417	172.5499
236.000000	92.356	172.4656
240.000000	92.273	172.3258
243.000000	92.230	172.2656
247.000000	92.173	172.2105
250.000000	92.125	172.1493
254.000000	92.066	172.0955
258.000000	92.005	172.1159
262.000000	91.943	172.0794
265.000000	91.896	172.0234
269.000000	91.827	172.0058
272.000000	91.777	172.0296
276.000000	91.725	172.0942
280.000000	91.675	172.1583
285.000000	91.609	172.1685
290.000000	91.537	172.1956
295.000000	91.459	172.2180
300.000000	91.385	172.3073
304.000000	91.329	172.4060
307.000000	91.291	172.4764
311.000000	91.241	172.5683
315.000000	91.188	172.6752
320.000000	91.121	172.8160
325.000000	91.059	172.9576
330.000000	91.005	173.1031
335.000000	90.951	173.2809
340.000000	90.891	173.4583
345.000000	90.832	173.5847
350.000000	90.778	173.7466
355.000000	90.725	173.9658
360.000000	90.670	174.1663
365.000000	90.622	174.3755
370.000000	90.577	174.6196
375.000000	90.526	174.8495
382.000000	90.448	175.1353
387.000000	90.398	175.3693
395.000000	90.328	175.7869
400.000000	90.290	176.0494
406.000000	90.241	176.3615
412.000000	90.186	176.6685
418.000000	90.134	176.9872
425.000000	90.080	177.3615
431.000000	90.036	177.6910
437.000000	89.995	178.0388
444.000000	89.947	178.4470
450.000000	89.903	178.7925
455.000000	89.867	179.0899
462.000000	89.819	179.5049
468.000000	89.782	179.8593
475.000000	89.740	-179.7073
482.000000	89.698	-179.2661
487.000000	89.670	-178.9446
494.000000	89.634	-178.4822
500.000000	89.602	-178.0923
508.000000	89.560	-177.5669
515.000000	89.527	-177.1183
522.000000	89.495	-176.6683
530.000000	89.456	-176.1408
538.000000	89.416	-175.5526
545.000000	89.388	-175.0223
552.000000	89.363	-174.5249
560.000000	89.333	-174.0064
570.000000	89.298	-173.3652
580.000000	89.272	-172.7094
590.000000	89.247	-172.0357
600.000000	89.222	-171.3248
608.000000	89.206	-170.7468
615.000000	89.194	-170.2541
622.000000	89.181	-169.7593
630.000000	89.166	-169.1877
640.000000	89.149	-168.4917
650.000000	89.134	-167.7862
660.000000	89.122	-167.0772
670.000000	89.111	-166.3826
680.000000	89.103	-165.6951
690.000000	89.099	-165.0056
700.000000	89.098	-164.3129
710.000000	89.097	-163.6339
720.000000	89.099	-162.9697
730.000000	89.106	-162.3253
740.000000	89.113	-161.6886
750.000000	89.120	-161.0673
762.000000	89.131	-160.3624
775.000000	89.144	-159.6458
788.000000	89.150	-159.0130
800.000000	89.143	-158.5302
812.000000	89.111	-158.1336
825.000000	89.018	-157.6958
838.000000	88.846	-156.8325
850.000000	88.679	-155.1088
862.000000	88.651	-152.6814
875.000000	88.810	-150.4791
885.000000	88.969	-149.5309
900.000000	89.137	-148.9287
912.000000	89.190	-148.7010
925.000000	89.168	-148.4088
938.000000	89.069	-147.8128
950.000000	88.929	-146.6858
962.000000	88.799	-144.7675
975.000000	88.767	-141.9195
988.000000	88.913	-138.9158
1000.000000	89.175	-136.6348
1015.000000	89.559	-134.7730
1030.000000	89.916	-133.7644
1044.000000	90.197	-133.2325
1060.000000	90.468	-132.8307
1075.000000	90.686	-132.5220
1090.000000	90.877	-132.2244
1106.000000	91.064	-131.9013
1120.000000	91.217	-131.6113
1138.000000	91.404	-131.2409
1150.000000	91.524	-130.9982
1172.000000	91.737	-130.5526
1180.000000	91.813	-130.3925
1206.000000	92.050	-129.8854
1220.000000	92.175	-129.6235
1241.000000	92.358	-129.2520
1250.000000	92.435	-129.0961
1265.000000	92.560	-128.8360
1280.000000	92.683	-128.5808
1315.000000	92.964	-128.0231
1320.000000	93.003	-127.9446
1340.000000	93.160	-127.6289
1360.000000	93.314	-127.3174
1380.000000	93.469	-127.0186
1400.000000	93.623	-126.7394
1430.000000	93.850	-126.3391
1450.000000	93.999	-126.0668
1475.000000	94.184	-125.7144
1500.000000	94.369	-125.3434
1525.000000	94.561	-124.9498
1550.000000	94.764	-124.5583
1575.000000	94.976	-124.1912
1600.000000	95.194	-123.8775
1625.000000	95.418	-123.6064
1650.000000	95.654	-123.3820
1675.000000	95.903	-123.2730
1700.000000	96.157	-123.3386
1725.000000	96.404	-123.5798
1750.000000	96.634	-123.9336
1775.000000	96.849	-124.3315
1800.000000	97.053	-124.7388
1825.000000	97.252	-125.1453
1850.000000	97.452	-125.5616
1875.000000	97.654	-126.0123
1900.000000	97.860	-126.5305
1925.000000	98.066	-127.1521
1950.000000	98.267	-127.8909
1975.000000	98.456	-128.7306
2000.000000	98.630	-129.6417
2030.000000	98.822	-130.7948
2060.000000	98.996	-131.9883
2090.000000	99.156	-133.2218
2120.000000	99.303	-134.5191
2140.000000	99.390	-135.4279
2180.000000	99.529	-137.3207
2200.000000	99.577	-138.2633
2240.000000	99.632	-140.0007
2270.000000	99.653	-141.0811
2300.000000	99.681	-141.9585
2330.000000	99.735	-142.7584
2360.000000	99.810	-143.6763
2400.000000	99.899	-145.2054
2430.000000	99.932	-146.4792
2470.000000	99.926	-148.0969
2500.000000	99.898	-149.1158
2540.000000	99.867	-150.1962
2580.000000	99.872	-151.1547
2620.000000	99.905	-152.2849
2650.000000	99.926	-153.3408
2690.000000	99.914	-154.9518
2720.000000	99.865	-156.1817
2760.000000	99.751	-157.6729
2800.000000	99.601	-158.8833
2850.000000	99.392	-159.9407
2900.000000	99.191	-160.5218
2950.000000	99.028	-160.7638
3000.000000	98.915	-160.8934
3040.000000	98.849	-161.0523
3070.000000	98.805	-161.2260
3110.000000	98.744	-161.5092
3150.000000	98.673	-161.8154
3200.000000	98.566	-162.1676
