* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 5:07:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Oriolus Isabellae Max ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.797	-101.3885
20.600000	93.847	-102.0710
20.900000	93.942	-103.2775
21.200001	94.021	-104.3821
21.400000	94.064	-105.0405
21.799999	94.139	-106.2031
22.000000	94.176	-106.7188
22.400000	94.254	-107.6311
22.700001	94.321	-108.2706
23.000000	94.395	-108.9545
23.299999	94.470	-109.7342
23.600000	94.541	-110.6176
24.000000	94.618	-111.9091
24.299999	94.662	-112.8833
24.700001	94.715	-114.0892
25.000000	94.758	-114.8954
25.400000	94.833	-115.8763
25.799999	94.922	-116.8512
26.200001	95.009	-117.8987
26.500000	95.062	-118.7287
26.900000	95.111	-119.8432
27.200001	95.137	-120.6454
27.600000	95.169	-121.6525
28.000000	95.210	-122.6247
28.500000	95.279	-123.8678
29.000000	95.349	-125.1255
29.500000	95.406	-126.2608
30.000000	95.455	-127.1679
30.400000	95.496	-127.7720
30.700001	95.529	-128.2137
31.100000	95.571	-128.8592
31.500000	95.603	-129.5927
32.000000	95.624	-130.5789
32.500000	95.634	-131.5250
33.000000	95.655	-132.3541
33.500000	95.701	-133.0917
34.000000	95.769	-133.8265
34.500000	95.840	-134.6313
35.000000	95.892	-135.5048
35.500000	95.914	-136.3702
36.000000	95.915	-137.1389
36.500000	95.918	-137.7917
37.000000	95.941	-138.4034
37.500000	95.983	-139.0749
38.200001	96.045	-140.1716
38.700001	96.072	-140.9905
39.500000	96.093	-142.1861
40.000000	96.107	-142.8660
40.599998	96.132	-143.6714
41.200001	96.161	-144.4854
41.799999	96.182	-145.2677
42.500000	96.193	-146.0712
43.099998	96.198	-146.6700
43.700001	96.209	-147.2747
44.400002	96.224	-148.0847
45.000000	96.228	-148.8241
45.500000	96.223	-149.3769
46.200001	96.221	-150.0066
46.799999	96.236	-150.5148
47.500000	96.264	-151.2322
48.200001	96.284	-152.0626
48.700001	96.291	-152.6477
49.400002	96.296	-153.3931
50.000000	96.299	-153.9741
50.799999	96.298	-154.7031
51.500000	96.292	-155.3161
52.200001	96.283	-155.9150
53.000000	96.280	-156.5913
53.799999	96.292	-157.2730
54.500000	96.310	-157.8660
55.200001	96.326	-158.4175
56.000000	96.333	-158.9794
57.000000	96.324	-159.6791
58.000000	96.316	-160.5078
59.000000	96.323	-161.4117
60.000000	96.328	-162.1802
60.799999	96.322	-162.6536
61.500000	96.311	-163.0473
62.200001	96.297	-163.4919
63.000000	96.282	-164.0686
64.000000	96.270	-164.8234
65.000000	96.256	-165.5307
66.000000	96.240	-166.1263
67.000000	96.234	-166.6585
68.000000	96.230	-167.2349
69.000000	96.209	-167.8006
70.000000	96.184	-168.3128
71.000000	96.170	-168.8590
72.000000	96.161	-169.4350
73.000000	96.145	-169.9960
74.000000	96.121	-170.5341
75.000000	96.103	-171.0436
76.199997	96.093	-171.6648
77.500000	96.079	-172.3027
78.800003	96.071	-173.0084
80.000000	96.043	-173.5792
81.199997	96.002	-173.9872
82.500000	95.963	-174.4953
83.800003	95.928	-175.0569
85.000000	95.867	-175.6218
86.199997	95.796	-176.2575
87.500000	95.782	-176.8835
88.500000	95.793	-177.2711
90.000000	95.737	-177.7337
91.199997	95.668	-178.1731
92.500000	95.647	-178.6901
93.800003	95.656	-179.0373
95.000000	95.659	-179.1561
96.199997	95.667	-179.3769
97.500000	95.656	-179.7832
98.800003	95.623	179.8217
100.000000	95.593	179.4594
101.500000	95.555	179.0139
103.000000	95.499	178.5198
104.400002	95.445	177.9490
106.000000	95.412	177.4921
107.500000	95.413	177.1941
109.000000	95.400	176.7273
110.599998	95.355	176.2590
112.000000	95.307	175.9725
113.800003	95.251	175.6064
115.000000	95.217	175.3394
117.199997	95.174	174.7910
118.000000	95.163	174.5833
120.599998	95.101	174.2087
122.000000	95.060	174.0638
124.099998	95.000	173.6618
125.000000	94.979	173.4680
126.500000	94.947	173.1263
128.000000	94.913	172.8061
131.500000	94.840	172.1978
132.000000	94.828	172.1139
134.000000	94.772	171.7438
136.000000	94.728	171.3696
138.000000	94.704	171.1400
140.000000	94.668	170.9128
143.000000	94.581	170.5234
145.000000	94.536	170.2543
147.500000	94.489	169.9331
150.000000	94.433	169.6428
152.500000	94.367	169.4321
155.000000	94.300	169.1997
157.500000	94.252	168.8969
160.000000	94.198	168.5957
162.500000	94.133	168.3147
165.000000	94.072	168.0221
167.500000	94.018	167.7736
170.000000	93.959	167.5927
172.500000	93.890	167.4145
175.000000	93.815	167.2038
177.500000	93.729	167.0353
180.000000	93.650	166.9099
182.500000	93.579	166.7917
185.000000	93.512	166.7437
187.500000	93.440	166.6626
190.000000	93.368	166.4194
192.500000	93.308	166.2226
195.000000	93.253	166.0974
197.500000	93.193	166.0216
200.000000	93.132	165.9774
203.000000	93.066	165.9434
206.000000	92.996	165.9066
209.000000	92.928	165.8816
212.000000	92.868	165.7926
214.000000	92.838	165.6429
218.000000	92.788	165.4332
220.000000	92.756	165.4108
224.000000	92.688	165.4150
227.000000	92.633	165.4088
230.000000	92.577	165.3822
233.000000	92.523	165.3649
236.000000	92.469	165.3494
240.000000	92.410	165.2842
243.000000	92.364	165.3292
247.000000	92.295	165.4297
250.000000	92.243	165.4951
254.000000	92.165	165.5489
258.000000	92.097	165.5417
262.000000	92.032	165.5682
265.000000	91.979	165.6241
269.000000	91.917	165.7152
272.000000	91.869	165.7932
276.000000	91.802	165.8978
280.000000	91.740	165.9954
285.000000	91.655	166.1192
290.000000	91.571	166.2255
295.000000	91.497	166.4115
300.000000	91.427	166.6067
304.000000	91.371	166.7188
307.000000	91.327	166.8035
311.000000	91.270	166.9498
