* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:44:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Sony MDR-EX500SL EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.618	-72.4344
20.600000	92.700	-73.1293
20.900000	92.863	-74.3357
21.200001	93.012	-75.3931
21.400000	93.109	-76.0328
21.799999	93.303	-77.2926
22.000000	93.400	-77.9608
22.400000	93.578	-79.3887
22.700001	93.688	-80.4940
23.000000	93.774	-81.5582
23.299999	93.843	-82.5177
23.600000	93.906	-83.3575
24.000000	93.998	-84.3400
24.299999	94.081	-85.0643
24.700001	94.206	-86.1282
25.000000	94.301	-87.0287
25.400000	94.415	-88.3162
25.799999	94.513	-89.5793
26.200001	94.605	-90.7220
26.500000	94.678	-91.4968
26.900000	94.784	-92.4628
27.200001	94.867	-93.1678
27.600000	94.973	-94.0870
28.000000	95.070	-94.9445
28.500000	95.187	-95.8871
29.000000	95.311	-96.7696
29.500000	95.441	-97.7595
30.000000	95.557	-98.9275
30.400000	95.632	-99.9235
30.700001	95.683	-100.6597
31.100000	95.756	-101.6129
31.500000	95.843	-102.5739
32.000000	95.964	-103.8667
32.500000	96.075	-105.2331
33.000000	96.157	-106.4850
33.500000	96.221	-107.4727
34.000000	96.293	-108.2567
34.500000	96.380	-109.0552
35.000000	96.466	-110.0048
35.500000	96.538	-111.0554
36.000000	96.601	-112.0639
36.500000	96.668	-112.9520
37.000000	96.741	-113.7284
37.500000	96.810	-114.4221
38.200001	96.889	-115.2963
38.700001	96.937	-115.9299
39.500000	97.014	-117.1751
40.000000	97.059	-118.0691
40.599998	97.110	-119.0785
41.200001	97.162	-119.8885
41.799999	97.216	-120.5502
42.500000	97.277	-121.3323
43.099998	97.328	-122.1455
43.700001	97.382	-123.0887
44.400002	97.452	-124.1830
45.000000	97.518	-124.9647
45.500000	97.572	-125.5154
46.200001	97.629	-126.2701
46.799999	97.651	-126.9669
47.500000	97.660	-127.7843
48.200001	97.688	-128.5669
48.700001	97.722	-129.1062
49.400002	97.780	-129.8216
50.000000	97.831	-130.4231
50.799999	97.886	-131.3294
51.500000	97.909	-132.2066
52.200001	97.916	-132.9810
53.000000	97.937	-133.6378
53.799999	97.985	-134.2107
54.500000	98.036	-134.7959
55.200001	98.079	-135.4922
56.000000	98.111	-136.3604
57.000000	98.142	-137.4221
58.000000	98.172	-138.3521
59.000000	98.191	-139.0878
60.000000	98.214	-139.7806
60.799999	98.244	-140.4606
61.500000	98.276	-141.1120
62.200001	98.303	-141.6933
63.000000	98.330	-142.2182
64.000000	98.358	-142.8621
65.000000	98.380	-143.6480
66.000000	98.405	-144.4024
67.000000	98.436	-145.0716
68.000000	98.453	-145.7698
69.000000	98.459	-146.4563
70.000000	98.478	-147.0831
71.000000	98.507	-147.6893
72.000000	98.533	-148.3132
73.000000	98.552	-148.9602
74.000000	98.566	-149.5696
75.000000	98.580	-150.1185
76.199997	98.600	-150.7947
77.500000	98.615	-151.5317
78.800003	98.634	-152.1889
80.000000	98.653	-152.8066
81.199997	98.666	-153.4476
82.500000	98.670	-154.1228
83.800003	98.684	-154.7345
85.000000	98.700	-155.3246
86.199997	98.711	-155.8775
87.500000	98.721	-156.4680
88.500000	98.723	-156.9274
90.000000	98.719	-157.5904
91.199997	98.718	-158.0686
92.500000	98.728	-158.5689
93.800003	98.736	-159.1308
95.000000	98.734	-159.6608
96.199997	98.734	-160.1400
97.500000	98.740	-160.6043
98.800003	98.745	-161.0652
100.000000	98.750	-161.5194
101.500000	98.757	-162.1015
103.000000	98.755	-162.6418
104.400002	98.751	-163.1086
106.000000	98.750	-163.6575
107.500000	98.752	-164.1996
109.000000	98.754	-164.7162
110.599998	98.752	-165.2295
112.000000	98.747	-165.6768
113.800003	98.739	-166.2484
115.000000	98.735	-166.6160
117.199997	98.731	-167.2581
118.000000	98.728	-167.4758
120.599998	98.716	-168.1542
122.000000	98.711	-168.5442
124.099998	98.703	-169.1169
125.000000	98.701	-169.3518
126.500000	98.699	-169.7544
128.000000	98.695	-170.1872
131.500000	98.686	-171.1420
132.000000	98.685	-171.2669
134.000000	98.679	-171.7461
136.000000	98.673	-172.2022
138.000000	98.666	-172.6812
140.000000	98.656	-173.1603
143.000000	98.646	-173.8174
145.000000	98.639	-174.2569
