* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:40:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Sony MDR-EX500SL EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.820	-72.7907
20.600000	91.892	-73.3689
20.900000	92.040	-74.4173
21.200001	92.184	-75.4637
21.400000	92.278	-76.1789
21.799999	92.461	-77.7066
22.000000	92.548	-78.5186
22.400000	92.704	-80.1569
22.700001	92.803	-81.3141
23.000000	92.892	-82.3476
23.299999	92.978	-83.2422
23.600000	93.067	-84.0208
24.000000	93.196	-84.9518
24.299999	93.298	-85.6346
24.700001	93.433	-86.5769
25.000000	93.529	-87.3134
25.400000	93.645	-88.3195
25.799999	93.747	-89.3372
26.200001	93.835	-90.3617
26.500000	93.892	-91.1256
26.900000	93.956	-92.1080
27.200001	94.001	-92.7913
27.600000	94.072	-93.6209
28.000000	94.171	-94.4145
28.500000	94.338	-95.5315
29.000000	94.525	-96.9269
29.500000	94.687	-98.5031
30.000000	94.806	-99.9815
30.400000	94.880	-100.9683
30.700001	94.933	-101.6032
31.100000	95.005	-102.3903
31.500000	95.077	-103.1907
32.000000	95.159	-104.2552
32.500000	95.228	-105.3279
33.000000	95.296	-106.3261
33.500000	95.375	-107.2482
34.000000	95.464	-108.1412
34.500000	95.549	-109.0269
35.000000	95.625	-109.8914
35.500000	95.693	-110.7298
36.000000	95.758	-111.5680
36.500000	95.826	-112.4367
37.000000	95.894	-113.3378
37.500000	95.958	-114.2412
38.200001	96.038	-115.4444
38.700001	96.087	-116.2419
39.500000	96.158	-117.4305
40.000000	96.205	-118.1368
40.599998	96.273	-118.9720
41.200001	96.348	-119.8200
41.799999	96.414	-120.6623
42.500000	96.467	-121.5578
43.099998	96.508	-122.2484
43.700001	96.564	-122.9901
44.400002	96.647	-124.0402
45.000000	96.713	-125.0141
45.500000	96.751	-125.7298
46.200001	96.786	-126.4817
46.799999	96.812	-127.0094
47.500000	96.841	-127.7577
48.200001	96.862	-128.6718
48.700001	96.878	-129.2927
49.400002	96.920	-130.0106
50.000000	96.971	-130.5870
50.799999	97.023	-131.4501
51.500000	97.050	-132.2129
52.200001	97.086	-132.9089
53.000000	97.131	-133.6341
53.799999	97.157	-134.2509
54.500000	97.177	-134.8321
55.200001	97.216	-135.6833
56.000000	97.281	-136.8555
57.000000	97.376	-137.8530
58.000000	97.447	-138.1662
59.000000	97.459	-138.4480
60.000000	97.461	-139.2218
60.799999	97.474	-140.1179
61.500000	97.487	-140.8926
62.200001	97.492	-141.5663
63.000000	97.488	-142.1958
64.000000	97.500	-142.8384
65.000000	97.536	-143.5298
66.000000	97.565	-144.2528
67.000000	97.590	-144.8812
68.000000	97.618	-145.4987
69.000000	97.631	-146.1247
70.000000	97.637	-146.6909
71.000000	97.659	-147.1999
72.000000	97.695	-147.7977
73.000000	97.713	-148.5133
