* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:22:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Sony MH755 EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.990	-141.4619
20.600000	104.005	-142.0183
20.900000	104.036	-143.0061
21.200001	104.063	-143.9291
21.400000	104.079	-144.5099
21.799999	104.110	-145.6433
22.000000	104.125	-146.2101
22.400000	104.155	-147.3306
22.700001	104.176	-148.1532
23.000000	104.195	-148.9638
23.299999	104.211	-149.7638
23.600000	104.225	-150.5552
24.000000	104.239	-151.5990
24.299999	104.246	-152.3723
24.700001	104.255	-153.3871
25.000000	104.261	-154.1333
25.400000	104.270	-155.1072
25.799999	104.280	-156.0584
26.200001	104.290	-156.9887
26.500000	104.296	-157.6725
26.900000	104.302	-158.5641
27.200001	104.304	-159.2174
27.600000	104.304	-160.0693
28.000000	104.303	-160.9042
28.500000	104.298	-161.9314
29.000000	104.291	-162.9405
29.500000	104.281	-163.9235
30.000000	104.271	-164.8736
30.400000	104.262	-165.6126
30.700001	104.256	-166.1580
31.100000	104.246	-166.8775
31.500000	104.235	-167.5896
32.000000	104.219	-168.4665
32.500000	104.201	-169.3236
33.000000	104.181	-170.1592
33.500000	104.162	-170.9757
34.000000	104.142	-171.7755
34.500000	104.121	-172.5577
35.000000	104.099	-173.3199
35.500000	104.075	-174.0615
36.000000	104.049	-174.7859
36.500000	104.023	-175.4990
37.000000	103.995	-176.2049
37.500000	103.966	-176.9019
38.200001	103.925	-177.8505
38.700001	103.896	-178.5024
39.500000	103.849	-179.5084
40.000000	103.819	179.8783
40.599998	103.781	179.1576
41.200001	103.741	178.4576
41.799999	103.702	177.7752
42.500000	103.657	176.9947
43.099998	103.619	176.3458
43.700001	103.578	175.7255
44.400002	103.528	175.0297
45.000000	103.482	174.4406
45.500000	103.440	173.9527
46.200001	103.383	173.2829
46.799999	103.341	172.7175
47.500000	103.300	172.0494
48.200001	103.258	171.3821
48.700001	103.224	170.9291
49.400002	103.171	170.3447
50.000000	103.124	169.8709
50.799999	103.062	169.2390
51.500000	103.008	168.6872
52.200001	102.955	168.1534
53.000000	102.895	167.5585
53.799999	102.835	166.9694
54.500000	102.780	166.4768
55.200001	102.727	166.0156
56.000000	102.669	165.5025
57.000000	102.595	164.8531
58.000000	102.517	164.2183
59.000000	102.440	163.6272
60.000000	102.369	163.0792
60.799999	102.314	162.6132
61.500000	102.262	162.1799
62.200001	102.205	161.7720
63.000000	102.143	161.3577
64.000000	102.072	160.8575
65.000000	101.996	160.3681
66.000000	101.922	159.9157
67.000000	101.850	159.4817
68.000000	101.779	159.0560
69.000000	101.709	158.6258
70.000000	101.637	158.1996
71.000000	101.565	157.8021
72.000000	101.494	157.4271
73.000000	101.424	157.0518
74.000000	101.353	156.6876
75.000000	101.282	156.3524
76.199997	101.199	155.9639
77.500000	101.110	155.5084
78.800003	101.019	155.0908
80.000000	100.939	154.7555
81.199997	100.862	154.4180
82.500000	100.774	154.1269
83.800003	100.688	153.7634
85.000000	100.618	153.2966
86.199997	100.555	152.9177
87.500000	100.471	152.7123
88.500000	100.404	152.6395
90.000000	100.331	152.4536
91.199997	100.261	152.1992
92.500000	100.157	151.9063
93.800003	100.060	151.6408
95.000000	99.984	151.4649
96.199997	99.915	151.3060
97.500000	99.848	151.1130
98.800003	99.787	150.9281
100.000000	99.725	150.7378
101.500000	99.637	150.4733
103.000000	99.547	150.2315
104.400002	99.470	150.0260
106.000000	99.386	149.8225
107.500000	99.304	149.6719
109.000000	99.219	149.5244
110.599998	99.134	149.3323
112.000000	99.063	149.1597
113.800003	98.970	148.9808
115.000000	98.907	148.8844
117.199997	98.792	148.7234
118.000000	98.752	148.6604
120.599998	98.623	148.4689
122.000000	98.556	148.3921
124.099998	98.458	148.2822
125.000000	98.417	148.2348
126.500000	98.351	148.1622
128.000000	98.286	148.0984
131.500000	98.138	147.9607
132.000000	98.117	147.9438
134.000000	98.033	147.8804
136.000000	97.951	147.8223
138.000000	97.872	147.7830
140.000000	97.793	147.7540
143.000000	97.676	147.7270
145.000000	97.599	147.7259
147.500000	97.504	147.7164
150.000000	97.412	147.7043
152.500000	97.322	147.6989
155.000000	97.234	147.6961
157.500000	97.146	147.7518
160.000000	97.054	147.8122
162.500000	96.956	147.8611
165.000000	96.857	147.9173
167.500000	96.759	147.9822
170.000000	96.663	148.0512
172.500000	96.567	148.1245
175.000000	96.473	148.2031
177.500000	96.382	148.2914
180.000000	96.291	148.3907
182.500000	96.202	148.4916
185.000000	96.115	148.5936
187.500000	96.029	148.7016
190.000000	95.944	148.8148
192.500000	95.860	148.9332
195.000000	95.778	149.0569
197.500000	95.698	149.1871
200.000000	95.623	149.3212
203.000000	95.543	149.4834
206.000000	95.469	149.6514
209.000000	95.398	149.8229
212.000000	95.327	149.9960
214.000000	95.281	150.1147
218.000000	95.190	150.3611
220.000000	95.145	150.4874
224.000000	95.059	150.7452
227.000000	94.995	150.9412
230.000000	94.932	151.1378
233.000000	94.871	151.3375
236.000000	94.810	151.5410
240.000000	94.730	151.8188
243.000000	94.672	152.0269
247.000000	94.597	152.3085
250.000000	94.540	152.5243
254.000000	94.464	152.8158
258.000000	94.388	153.1104
262.000000	94.313	153.4061
265.000000	94.258	153.6284
269.000000	94.186	153.9283
272.000000	94.134	154.1555
276.000000	94.065	154.4620
280.000000	93.998	154.7702
285.000000	93.916	155.1568
290.000000	93.837	155.5459
295.000000	93.761	155.9377
300.000000	93.686	156.3304
304.000000	93.627	156.6448
307.000000	93.584	156.8806
311.000000	93.527	157.1980
315.000000	93.473	157.5198
320.000000	93.407	157.9222
325.000000	93.344	158.3233
330.000000	93.283	158.7234
335.000000	93.224	159.1244
340.000000	93.166	159.5272
345.000000	93.110	159.9314
350.000000	93.055	160.3363
355.000000	93.001	160.7404
360.000000	92.949	161.1447
365.000000	92.899	161.5490
370.000000	92.850	161.9527
375.000000	92.802	162.3562
382.000000	92.737	162.9200
387.000000	92.693	163.3223
395.000000	92.624	163.9654
400.000000	92.583	164.3655
406.000000	92.535	164.8472
412.000000	92.490	165.3287
418.000000	92.446	165.8080
425.000000	92.396	166.3657
431.000000	92.355	166.8430
437.000000	92.314	167.3198
444.000000	92.269	167.8712
450.000000	92.232	168.3406
455.000000	92.201	168.7317
462.000000	92.160	169.2774
468.000000	92.126	169.7436
475.000000	92.087	170.2872
482.000000	92.050	170.8313
487.000000	92.024	171.2196
494.000000	91.988	171.7621
500.000000	91.959	172.2263
508.000000	91.921	172.8470
515.000000	91.890	173.3931
522.000000	91.860	173.9389
530.000000	91.827	174.5630
538.000000	91.796	175.1888
545.000000	91.771	175.7399
552.000000	91.747	176.2903
560.000000	91.721	176.9189
570.000000	91.692	177.7049
580.000000	91.665	178.4870
590.000000	91.640	179.2655
600.000000	91.618	-179.9572
608.000000	91.602	-179.3369
615.000000	91.589	-178.7951
622.000000	91.578	-178.2537
630.000000	91.565	-177.6350
640.000000	91.551	-176.8615
650.000000	91.539	-176.0852
660.000000	91.530	-175.3099
670.000000	91.523	-174.5406
680.000000	91.518	-173.7760
690.000000	91.516	-173.0137
700.000000	91.516	-172.2564
710.000000	91.519	-171.5046
720.000000	91.524	-170.7546
730.000000	91.530	-170.0046
740.000000	91.539	-169.2590
750.000000	91.550	-168.5161
762.000000	91.566	-167.6267
775.000000	91.588	-166.6647
788.000000	91.613	-165.7070
800.000000	91.640	-164.8300
812.000000	91.671	-163.9562
825.000000	91.708	-163.0165
838.000000	91.750	-162.0903
850.000000	91.793	-161.2500
862.000000	91.841	-160.4257
875.000000	91.898	-159.5509
885.000000	91.945	-158.8951
900.000000	92.020	-157.9412
912.000000	92.085	-157.2043
925.000000	92.159	-156.4330
938.000000	92.238	-155.6939
950.000000	92.314	-155.0432
962.000000	92.393	-154.4252
975.000000	92.482	-153.7935
988.000000	92.574	-153.2050
1000.000000	92.664	-152.7052
1015.000000	92.782	-152.1470
1030.000000	92.907	-151.6799
1044.000000	93.028	-151.3623
1060.000000	93.165	-151.2297
1075.000000	93.262	-151.4127
1090.000000	93.279	-151.7161
1106.000000	93.213	-151.4898
1120.000000	93.186	-150.6057
1138.000000	93.273	-149.3402
1150.000000	93.371	-148.7539
1172.000000	93.553	-148.1619
1180.000000	93.613	-148.0461
1206.000000	93.782	-147.8985
1220.000000	93.855	-147.9490
1241.000000	93.929	-148.1941
1250.000000	93.943	-148.3578
1265.000000	93.931	-148.6749
1280.000000	93.859	-148.9279
1315.000000	93.482	-147.6198
1320.000000	93.433	-147.0753
