* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:26:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Sony MH755 EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.273	-133.6493
20.600000	101.294	-134.1832
20.900000	101.336	-135.1308
21.200001	101.376	-136.0168
21.400000	101.403	-136.5782
21.799999	101.456	-137.6876
22.000000	101.483	-138.2496
22.400000	101.535	-139.3701
22.700001	101.570	-140.1930
23.000000	101.601	-140.9959
23.299999	101.630	-141.7768
23.600000	101.655	-142.5386
24.000000	101.686	-143.5330
24.299999	101.708	-144.2690
24.700001	101.734	-145.2400
25.000000	101.753	-145.9590
25.400000	101.777	-146.9011
25.799999	101.800	-147.8224
26.200001	101.823	-148.7257
26.500000	101.839	-149.3941
26.900000	101.858	-150.2750
27.200001	101.871	-150.9266
27.600000	101.886	-151.7796
28.000000	101.899	-152.6113
28.500000	101.913	-153.6226
29.000000	101.926	-154.6117
29.500000	101.935	-155.5841
30.000000	101.940	-156.5356
30.400000	101.941	-157.2765
30.700001	101.942	-157.8198
31.100000	101.944	-158.5308
31.500000	101.946	-159.2316
32.000000	101.949	-160.0987
32.500000	101.951	-160.9554
33.000000	101.950	-161.7958
33.500000	101.946	-162.6164
34.000000	101.939	-163.4165
34.500000	101.931	-164.1947
35.000000	101.923	-164.9488
35.500000	101.915	-165.6819
36.000000	101.909	-166.4033
36.500000	101.901	-167.1200
37.000000	101.890	-167.8280
37.500000	101.875	-168.5162
38.200001	101.852	-169.4367
38.700001	101.835	-170.0731
39.500000	101.809	-171.0829
40.000000	101.792	-171.7156
40.599998	101.772	-172.4756
41.200001	101.750	-173.2225
41.799999	101.727	-173.9315
42.500000	101.700	-174.7029
43.099998	101.675	-175.3477
43.700001	101.646	-175.9991
44.400002	101.609	-176.7556
45.000000	101.584	-177.4050
45.500000	101.567	-177.9669
46.200001	101.541	-178.7666
46.799999	101.508	-179.3860
47.500000	101.471	-179.9768
48.200001	101.444	179.4775
48.700001	101.426	179.0507
49.400002	101.392	178.4173
50.000000	101.352	177.9056
50.799999	101.297	177.2855
51.500000	101.252	176.7410
52.200001	101.209	176.1733
53.000000	101.164	175.5231
53.799999	101.123	174.8856
54.500000	101.086	174.3469
55.200001	101.047	173.8413
56.000000	101.002	173.2971
57.000000	100.943	172.6290
58.000000	100.876	171.9839
59.000000	100.813	171.3547
60.000000	100.756	170.6930
60.799999	100.703	170.2074
61.500000	100.657	169.8480
62.200001	100.616	169.4935
63.000000	100.574	169.0269
64.000000	100.516	168.3967
65.000000	100.456	167.8259
