* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 12:56:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-10 EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.166	-111.1357
20.600000	91.204	-111.5798
20.900000	91.279	-112.3704
21.200001	91.349	-113.1150
21.400000	91.393	-113.5862
21.799999	91.479	-114.5071
22.000000	91.523	-114.9653
22.400000	91.609	-115.8615
22.700001	91.672	-116.5111
23.000000	91.733	-117.1463
23.299999	91.791	-117.7721
23.600000	91.845	-118.3918
24.000000	91.912	-119.2111
24.299999	91.957	-119.8174
24.700001	92.015	-120.6076
25.000000	92.057	-121.1820
25.400000	92.114	-121.9229
25.799999	92.172	-122.6441
26.200001	92.230	-123.3601
26.500000	92.273	-123.9000
26.900000	92.327	-124.6214
27.200001	92.365	-125.1551
27.600000	92.414	-125.8419
28.000000	92.464	-126.4914
28.500000	92.528	-127.2613
29.000000	92.589	-128.0110
29.500000	92.639	-128.7439
30.000000	92.680	-129.4466
30.400000	92.713	-129.9999
30.700001	92.741	-130.4291
31.100000	92.784	-131.0376
31.500000	92.828	-131.6673
32.000000	92.879	-132.3883
32.500000	92.927	-132.9439
33.000000	92.977	-133.4017
33.500000	93.015	-133.9554
34.000000	93.012	-134.7020
34.500000	92.959	-135.4834
35.000000	92.894	-136.0669
35.500000	92.887	-136.4236
36.000000	92.966	-136.7870
36.500000	93.096	-137.3651
37.000000	93.212	-138.1042
37.500000	93.281	-138.7758
38.200001	93.321	-139.3948
38.700001	93.341	-139.7513
39.500000	93.375	-140.5138
40.000000	93.395	-141.0513
40.599998	93.425	-141.6292
41.200001	93.463	-142.1358
41.799999	93.494	-142.6342
42.500000	93.511	-143.2147
43.099998	93.521	-143.6852
43.700001	93.542	-144.1457
44.400002	93.581	-144.7015
45.000000	93.615	-145.1794
45.500000	93.637	-145.5526
46.200001	93.662	-146.0354
46.799999	93.682	-146.4505
47.500000	93.704	-146.9668
48.200001	93.723	-147.4784
48.700001	93.736	-147.8158
49.400002	93.756	-148.2581
50.000000	93.772	-148.6325
50.799999	93.790	-149.1282
51.500000	93.807	-149.5520
52.200001	93.826	-149.9823
53.000000	93.845	-150.4876
53.799999	93.857	-150.9613
54.500000	93.868	-151.3230
55.200001	93.883	-151.6571
56.000000	93.904	-152.0382
57.000000	93.925	-152.5214
58.000000	93.941	-153.0264
59.000000	93.950	-153.5121
60.000000	93.965	-153.9230
60.799999	93.984	-154.2667
61.500000	93.998	-154.6103
62.200001	94.007	-154.9603
63.000000	94.015	-155.3218
64.000000	94.026	-155.7094
65.000000	94.037	-156.0614
66.000000	94.050	-156.4155
67.000000	94.067	-156.7909
68.000000	94.083	-157.1757
69.000000	94.096	-157.5588
70.000000	94.109	-157.9217
71.000000	94.115	-158.2491
72.000000	94.107	-158.5521
73.000000	94.107	-158.8745
74.000000	94.129	-159.1983
75.000000	94.150	-159.4077
76.199997	94.153	-159.7134
77.500000	94.146	-160.5382
78.800003	94.185	-161.1720
80.000000	94.240	-161.2990
81.199997	94.231	-161.3357
82.500000	94.205	-161.5273
83.800003	94.212	-161.8941
85.000000	94.245	-162.2035
86.199997	94.289	-162.4486
87.500000	94.287	-162.7840
88.500000	94.237	-163.0708
90.000000	94.170	-163.4752
91.199997	94.175	-163.6807
92.500000	94.207	-163.9027
93.800003	94.219	-164.1239
95.000000	94.221	-164.3147
96.199997	94.233	-164.4816
97.500000	94.253	-164.6683
98.800003	94.254	-164.9464
100.000000	94.242	-165.2480
101.500000	94.237	-165.5882
103.000000	94.241	-165.8643
104.400002	94.247	-166.0740
106.000000	94.263	-166.2730
107.500000	94.273	-166.4075
109.000000	94.275	-166.5666
110.599998	94.267	-166.8464
112.000000	94.262	-167.0744
113.800003	94.265	-167.2982
115.000000	94.270	-167.4740
117.199997	94.273	-167.8456
118.000000	94.269	-167.9634
120.599998	94.241	-168.2963
122.000000	94.252	-168.4304
124.099998	94.282	-168.6575
125.000000	94.286	-168.7652
126.500000	94.283	-168.9451
128.000000	94.281	-169.1055
131.500000	94.287	-169.4959
132.000000	94.289	-169.5578
134.000000	94.302	-169.8008
136.000000	94.308	-170.0018
138.000000	94.309	-170.1823
140.000000	94.317	-170.3703
143.000000	94.325	-170.6269
145.000000	94.327	-170.8028
147.500000	94.329	-171.0203
150.000000	94.330	-171.2298
152.500000	94.334	-171.4399
155.000000	94.335	-171.6400
157.500000	94.336	-171.7971
160.000000	94.332	-171.9866
162.500000	94.321	-172.1665
165.000000	94.306	-172.3295
167.500000	94.289	-172.4837
170.000000	94.272	-172.6339
172.500000	94.255	-172.7841
175.000000	94.237	-172.9323
177.500000	94.220	-173.0753
