* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 1:23:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-300 EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.414	-114.9381
20.600000	94.451	-115.3525
20.900000	94.526	-116.0881
21.200001	94.594	-116.7777
21.400000	94.636	-117.2189
21.799999	94.719	-118.1040
22.000000	94.760	-118.5578
22.400000	94.842	-119.4660
22.700001	94.900	-120.1278
23.000000	94.958	-120.7629
23.299999	95.014	-121.3691
23.600000	95.069	-121.9505
24.000000	95.140	-122.6999
24.299999	95.190	-123.2530
24.700001	95.251	-123.9887
25.000000	95.293	-124.5430
25.400000	95.347	-125.2856
25.799999	95.401	-126.0278
26.200001	95.456	-126.7599
26.500000	95.499	-127.2965
26.900000	95.557	-127.9909
27.200001	95.601	-128.4952
27.600000	95.655	-129.1455
28.000000	95.703	-129.7696
28.500000	95.754	-130.5161
29.000000	95.804	-131.2558
29.500000	95.859	-132.0361
30.000000	95.914	-132.8592
30.400000	95.954	-133.4931
30.700001	95.982	-133.9182
31.100000	96.020	-134.4058
31.500000	96.060	-134.8451
32.000000	96.108	-135.4427
32.500000	96.140	-136.1561
33.000000	96.156	-136.8911
33.500000	96.190	-137.5374
34.000000	96.280	-138.1671
34.500000	96.413	-138.9797
35.000000	96.530	-140.0046
35.500000	96.575	-140.9623
36.000000	96.549	-141.5145
36.500000	96.503	-141.6183
37.000000	96.482	-141.6189
37.500000	96.492	-141.8455
38.200001	96.515	-142.6310
38.700001	96.528	-143.2669
39.500000	96.571	-144.0884
40.000000	96.608	-144.5393
40.599998	96.642	-145.0712
41.200001	96.662	-145.5837
41.799999	96.683	-146.1095
42.500000	96.710	-146.7803
43.099998	96.732	-147.3413
43.700001	96.753	-147.8295
44.400002	96.781	-148.3552
45.000000	96.804	-148.8265
45.500000	96.818	-149.2241
46.200001	96.835	-149.7522
46.799999	96.853	-150.1869
47.500000	96.872	-150.7081
