* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 1:34:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-C10 EX11 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.943	-118.8484
20.600000	93.976	-119.2459
20.900000	94.044	-119.9545
21.200001	94.106	-120.6261
21.400000	94.145	-121.0559
21.799999	94.220	-121.9087
22.000000	94.257	-122.3389
22.400000	94.328	-123.1879
22.700001	94.380	-123.8042
23.000000	94.429	-124.4031
23.299999	94.476	-124.9876
23.600000	94.522	-125.5626
24.000000	94.579	-126.3206
24.299999	94.620	-126.8837
24.700001	94.671	-127.6238
25.000000	94.709	-128.1667
25.400000	94.759	-128.8712
25.799999	94.808	-129.5555
26.200001	94.858	-130.2261
26.500000	94.894	-130.7237
26.900000	94.941	-131.3805
27.200001	94.974	-131.8655
27.600000	95.017	-132.4968
28.000000	95.058	-133.1062
28.500000	95.110	-133.8412
29.000000	95.160	-134.5583
29.500000	95.205	-135.2628
30.000000	95.245	-135.9498
30.400000	95.275	-136.4885
30.700001	95.298	-136.8912
31.100000	95.330	-137.4329
31.500000	95.363	-137.9751
32.000000	95.402	-138.6248
32.500000	95.440	-139.2122
33.000000	95.478	-139.7579
33.500000	95.511	-140.3281
34.000000	95.528	-140.9595
34.500000	95.528	-141.5983
35.000000	95.522	-142.1586
35.500000	95.535	-142.6235
36.000000	95.578	-143.0737
36.500000	95.638	-143.5900
37.000000	95.693	-144.1620
37.500000	95.730	-144.7086
38.200001	95.760	-145.3458
38.700001	95.779	-145.7583
39.500000	95.810	-146.4780
40.000000	95.827	-146.9477
40.599998	95.848	-147.4842
41.200001	95.872	-147.9939
41.799999	95.896	-148.4991
42.500000	95.920	-149.0720
43.099998	95.939	-149.5313
43.700001	95.963	-149.9790
44.400002	95.989	-150.5145
45.000000	96.006	-150.9714
45.500000	96.015	-151.3293
46.200001	96.028	-151.7961
46.799999	96.041	-152.1912
47.500000	96.056	-152.6630
48.200001	96.070	-153.1304
48.700001	96.080	-153.4564
49.400002	96.095	-153.9057
50.000000	96.107	-154.2802
50.799999	96.121	-154.7579
51.500000	96.134	-155.1705
52.200001	96.146	-155.5845
53.000000	96.161	-156.0374
53.799999	96.177	-156.4475
54.500000	96.187	-156.7666
55.200001	96.194	-157.0713
56.000000	96.200	-157.4662
57.000000	96.200	-158.0269
58.000000	96.203	-158.5270
59.000000	96.218	-158.9962
60.000000	96.234	-159.4886
60.799999	96.247	-159.8816
