* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 1:33:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony XBA-C10 EX11 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.089	-115.5174
20.600000	93.114	-115.9448
20.900000	93.168	-116.6940
21.200001	93.226	-117.3747
21.400000	93.267	-117.8086
21.799999	93.358	-118.7010
22.000000	93.405	-119.1766
22.400000	93.492	-120.1573
22.700001	93.548	-120.8724
23.000000	93.594	-121.5319
23.299999	93.637	-122.1227
23.600000	93.680	-122.6575
24.000000	93.743	-123.3286
24.299999	93.793	-123.8402
24.700001	93.859	-124.5586
25.000000	93.906	-125.1139
25.400000	93.962	-125.8385
25.799999	94.015	-126.5071
26.200001	94.070	-127.1197
26.500000	94.115	-127.5657
26.900000	94.176	-128.1755
27.200001	94.221	-128.6560
27.600000	94.275	-129.3185
28.000000	94.320	-129.9753
28.500000	94.368	-130.7518
29.000000	94.412	-131.4846
29.500000	94.454	-132.2019
30.000000	94.493	-132.9048
30.400000	94.527	-133.4452
30.700001	94.556	-133.8397
31.100000	94.602	-134.3694
31.500000	94.649	-134.9159
32.000000	94.699	-135.5962
32.500000	94.731	-136.1946
33.000000	94.756	-136.6925
33.500000	94.788	-137.2265
34.000000	94.825	-137.9867
34.500000	94.842	-138.9670
35.000000	94.831	-139.9108
35.500000	94.819	-140.5161
36.000000	94.846	-140.7507
36.500000	94.923	-140.8591
37.000000	95.014	-141.1109
37.500000	95.080	-141.5515
38.200001	95.111	-142.2463
38.700001	95.119	-142.6921
39.500000	95.153	-143.4138
40.000000	95.182	-143.8880
40.599998	95.214	-144.4136
41.200001	95.243	-144.8811
41.799999	95.270	-145.3551
42.500000	95.295	-145.9442
43.099998	95.315	-146.4268
43.700001	95.339	-146.8592
44.400002	95.368	-147.3340
45.000000	95.390	-147.7654
45.500000	95.404	-148.1674
46.200001	95.419	-148.7813
46.799999	95.430	-149.2853
47.500000	95.448	-149.7564
48.200001	95.476	-150.1249
48.700001	95.496	-150.3793
49.400002	95.513	-150.7578
50.000000	95.520	-151.0911
50.799999	95.534	-151.5558
51.500000	95.553	-152.0004
52.200001	95.574	-152.4504
53.000000	95.602	-152.9389
53.799999	95.629	-153.4056
54.500000	95.644	-153.7720
55.200001	95.649	-154.0792
56.000000	95.642	-154.3878
57.000000	95.643	-154.8378
58.000000	95.678	-155.5379
59.000000	95.714	-156.2026
60.000000	95.743	-156.4562
60.799999	95.763	-156.6158
61.500000	95.767	-156.8746
62.200001	95.762	-157.2006
63.000000	95.762	-157.5852
64.000000	95.768	-158.0216
65.000000	95.775	-158.3669
66.000000	95.790	-158.7057
67.000000	95.804	-159.0923
68.000000	95.809	-159.4815
69.000000	95.818	-159.8591
70.000000	95.837	-160.2288
71.000000	95.855	-160.5639
72.000000	95.860	-160.8444
73.000000	95.858	-161.1190
74.000000	95.855	-161.4255
75.000000	95.853	-161.6768
76.199997	95.857	-161.8676
77.500000	95.844	-162.2399
78.800003	95.820	-162.8729
80.000000	95.833	-163.4156
81.199997	95.854	-163.5701
82.500000	95.863	-163.6457
83.800003	95.879	-163.9295
85.000000	95.891	-163.9673
86.199997	95.886	-163.7606
87.500000	95.896	-164.0779
88.500000	95.900	-164.6268
90.000000	95.893	-164.9842
91.199997	95.910	-165.1542
92.500000	95.918	-165.7068
93.800003	95.904	-166.2186
95.000000	95.920	-166.4857
96.199997	95.956	-166.7138
97.500000	95.973	-166.9646
98.800003	95.971	-167.2162
100.000000	95.973	-167.4183
101.500000	95.978	-167.6481
103.000000	95.981	-167.9443
104.400002	95.987	-168.1881
106.000000	95.990	-168.4142
107.500000	95.982	-168.6902
109.000000	95.973	-168.9759
110.599998	95.970	-169.2350
112.000000	95.971	-169.4451
113.800003	95.974	-169.7102
115.000000	95.976	-169.8856
117.199997	95.973	-170.2020
118.000000	95.970	-170.3122
120.599998	95.960	-170.6813
122.000000	95.961	-170.8672
124.099998	95.963	-171.1184
125.000000	95.963	-171.2253
126.500000	95.965	-171.4045
128.000000	95.967	-171.5824
131.500000	95.972	-171.9742
132.000000	95.972	-172.0296
134.000000	95.974	-172.2485
136.000000	95.978	-172.4515
138.000000	95.984	-172.6458
140.000000	95.995	-172.8362
143.000000	95.995	-173.1492
145.000000	95.990	-173.3569
147.500000	95.988	-173.5921
150.000000	95.989	-173.8285
152.500000	95.993	-174.0713
155.000000	95.994	-174.2947
157.500000	95.990	-174.4976
160.000000	95.983	-174.6892
162.500000	95.968	-174.8835
165.000000	95.949	-175.0775
167.500000	95.931	-175.2592
170.000000	95.912	-175.4376
