* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 4, 24 5:09:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 54 Windows vol, BALANCE tips
* Measurement: TangZu YuXuanJi USBC Bal L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.200	-121.2184
20.600000	93.222	-121.6870
20.900000	93.269	-122.5033
21.200001	93.322	-123.2328
21.400000	93.360	-123.6936
21.799999	93.441	-124.6344
22.000000	93.479	-125.1313
22.400000	93.544	-126.1377
22.700001	93.581	-126.8543
23.000000	93.612	-127.5121
23.299999	93.642	-128.1252
23.600000	93.675	-128.7320
24.000000	93.724	-129.5996
24.299999	93.760	-130.3215
24.700001	93.799	-131.3463
25.000000	93.823	-132.1008
25.400000	93.859	-133.0146
25.799999	93.915	-133.8168
26.200001	93.997	-134.5911
26.500000	94.066	-135.2121
26.900000	94.149	-136.1120
27.200001	94.194	-136.7999
27.600000	94.225	-137.6443
28.000000	94.235	-138.3344
28.500000	94.244	-139.0379
29.000000	94.270	-139.7960
29.500000	94.298	-140.7600
30.000000	94.309	-141.8319
30.400000	94.309	-142.6175
30.700001	94.312	-143.1199
31.100000	94.330	-143.6940
31.500000	94.363	-144.2268
32.000000	94.413	-144.9319
32.500000	94.449	-145.6926
33.000000	94.465	-146.4438
33.500000	94.470	-147.1515
34.000000	94.475	-147.8464
34.500000	94.483	-148.5610
35.000000	94.490	-149.2771
35.500000	94.499	-149.9550
36.000000	94.514	-150.5919
36.500000	94.534	-151.2167
37.000000	94.552	-151.8384
37.500000	94.562	-152.4277
38.200001	94.569	-153.1623
38.700001	94.569	-153.6627
39.500000	94.558	-154.5184
40.000000	94.547	-155.0795
40.599998	94.547	-155.7870
41.200001	94.562	-156.5809
41.799999	94.575	-157.3992
42.500000	94.571	-158.1329
43.099998	94.571	-158.4924
43.700001	94.583	-158.7972
44.400002	94.596	-159.3126
45.000000	94.589	-159.8828
45.500000	94.574	-160.3868
46.200001	94.549	-161.1010
46.799999	94.529	-161.7003
47.500000	94.520	-162.3627
48.200001	94.527	-162.9877
48.700001	94.534	-163.3729
49.400002	94.540	-163.7574
50.000000	94.541	-164.0312
50.799999	94.522	-164.6131
51.500000	94.480	-165.3680
52.200001	94.450	-166.2013
53.000000	94.452	-167.1119
53.799999	94.454	-167.7079
54.500000	94.442	-167.8203
55.200001	94.435	-167.8375
56.000000	94.434	-168.1800
57.000000	94.430	-168.9555
58.000000	94.431	-169.5670
59.000000	94.407	-169.9900
60.000000	94.345	-170.5074
60.799999	94.302	-171.0284
61.500000	94.290	-171.4645
62.200001	94.293	-171.7882
63.000000	94.292	-171.9619
64.000000	94.280	-172.1139
65.000000	94.251	-172.6644
66.000000	94.198	-173.4205
67.000000	94.160	-173.9744
68.000000	94.135	-174.4058
69.000000	94.099	-174.8005
70.000000	94.067	-175.2104
71.000000	94.041	-175.6606
72.000000	94.012	-176.0706
73.000000	93.979	-176.4107
74.000000	93.951	-176.7365
75.000000	93.929	-177.0984
76.199997	93.900	-177.5308
77.500000	93.866	-177.9508
78.800003	93.827	-178.3393
80.000000	93.789	-178.6572
81.199997	93.752	-178.9642
82.500000	93.718	-179.3647
83.800003	93.688	-179.7935
85.000000	93.654	179.8992
86.199997	93.612	179.6237
87.500000	93.567	179.2894
88.500000	93.538	179.0353
90.000000	93.498	178.6955
91.199997	93.463	178.4132
92.500000	93.423	178.1128
93.800003	93.384	177.8616
95.000000	93.350	177.6345
96.199997	93.318	177.3885
97.500000	93.287	177.1362
98.800003	93.254	176.9375
100.000000	93.218	176.7531
101.500000	93.175	176.4486
103.000000	93.145	176.1575
104.400002	93.114	175.9200
106.000000	93.052	175.6168
107.500000	92.974	175.1871
109.000000	92.903	174.9106
110.599998	92.877	174.9805
112.000000	92.862	175.0080
113.800003	92.801	174.7949
115.000000	92.738	174.5381
117.199997	92.627	174.2474
118.000000	92.609	174.2273
120.599998	92.613	174.1241
122.000000	92.596	174.0677
124.099998	92.533	174.2505
125.000000	92.499	174.4632
126.500000	92.458	174.6656
128.000000	92.414	174.6512
131.500000	92.339	174.3871
132.000000	92.340	174.2776
134.000000	92.320	173.8853
136.000000	92.287	173.7873
138.000000	92.243	173.8033
140.000000	92.196	173.7007
143.000000	92.170	173.4427
145.000000	92.151	173.3647
147.500000	92.103	173.3430
150.000000	92.015	173.6690
152.500000	91.948	173.8459
155.000000	91.926	173.5372
157.500000	91.894	173.3795
160.000000	91.884	173.2167
162.500000	91.849	173.0962
165.000000	91.793	173.1922
167.500000	91.736	173.2463
170.000000	91.675	173.3229
172.500000	91.628	173.3799
175.000000	91.572	173.4157
177.500000	91.513	173.3647
180.000000	91.458	173.3567
182.500000	91.406	173.4180
185.000000	91.351	173.4750
187.500000	91.304	173.5888
190.000000	91.274	173.7728
192.500000	91.233	173.8755
195.000000	91.174	173.9412
197.500000	91.126	174.0048
200.000000	91.087	174.0229
203.000000	91.043	174.1051
206.000000	91.019	174.2172
209.000000	90.999	174.2581
212.000000	90.972	174.2856
214.000000	90.954	174.3376
218.000000	90.919	174.5021
220.000000	90.902	174.5632
224.000000	90.864	174.6439
227.000000	90.832	174.7407
230.000000	90.801	174.8628
233.000000	90.770	174.9958
236.000000	90.739	175.1390
240.000000	90.699	175.3419
243.000000	90.669	175.4960
247.000000	90.634	175.7019
250.000000	90.613	175.8589
254.000000	90.577	176.0717
258.000000	90.540	176.2935
262.000000	90.506	176.5090
265.000000	90.481	176.6626
269.000000	90.452	176.8806
272.000000	90.433	177.0562
276.000000	90.406	177.2830
280.000000	90.383	177.4933
285.000000	90.354	177.7391
290.000000	90.318	177.9612
295.000000	90.288	178.1890
300.000000	90.253	178.4326
304.000000	90.223	178.6302
307.000000	90.202	178.7825
311.000000	90.174	178.9822
315.000000	90.147	179.1863
320.000000	90.115	179.4460
325.000000	90.088	179.7021
330.000000	90.066	179.9790
335.000000	90.038	-179.7254
340.000000	90.007	-179.4410
345.000000	89.980	-179.1655
350.000000	89.957	-178.8734
355.000000	89.934	-178.5786
360.000000	89.910	-178.2847
365.000000	89.888	-177.9986
370.000000	89.867	-177.7049
375.000000	89.847	-177.4029
382.000000	89.818	-176.9859
387.000000	89.799	-176.6744
395.000000	89.771	-176.1686
400.000000	89.755	-175.8730
406.000000	89.735	-175.5166
412.000000	89.717	-175.1508
418.000000	89.699	-174.7827
425.000000	89.681	-174.3607
431.000000	89.667	-173.9897
437.000000	89.652	-173.6070
444.000000	89.636	-173.1660
450.000000	89.623	-172.7981
455.000000	89.611	-172.4955
462.000000	89.596	-172.0609
468.000000	89.586	-171.6763
475.000000	89.576	-171.2324
482.000000	89.565	-170.7911
487.000000	89.558	-170.4715
494.000000	89.548	-170.0236
500.000000	89.541	-169.6418
508.000000	89.532	-169.1371
515.000000	89.525	-168.6977
522.000000	89.519	-168.2542
530.000000	89.513	-167.7443
538.000000	89.507	-167.2351
545.000000	89.503	-166.7878
552.000000	89.499	-166.3390
560.000000	89.495	-165.8268
570.000000	89.492	-165.1905
580.000000	89.491	-164.5504
590.000000	89.490	-163.9142
600.000000	89.488	-163.2741
608.000000	89.485	-162.7525
615.000000	89.482	-162.2914
622.000000	89.477	-161.8266
630.000000	89.468	-161.2743
640.000000	89.450	-160.4963
650.000000	89.442	-159.5557
660.000000	89.470	-158.5122
670.000000	89.537	-157.5730
680.000000	89.615	-156.8473
690.000000	89.685	-156.2761
700.000000	89.743	-155.7711
710.000000	89.792	-155.2916
720.000000	89.836	-154.8276
730.000000	89.873	-154.3837
740.000000	89.903	-153.9595
750.000000	89.923	-153.5272
762.000000	89.936	-152.9498
775.000000	89.948	-152.2189
788.000000	89.967	-151.3998
800.000000	89.993	-150.6045
812.000000	90.026	-149.7941
825.000000	90.070	-148.9127
838.000000	90.122	-148.0395
850.000000	90.177	-147.2418
862.000000	90.236	-146.4575
875.000000	90.306	-145.6316
885.000000	90.363	-145.0128
900.000000	90.453	-144.1143
912.000000	90.530	-143.4219
925.000000	90.615	-142.6969
938.000000	90.704	-141.9995
950.000000	90.788	-141.3808
962.000000	90.874	-140.7841
975.000000	90.968	-140.1617
988.000000	91.065	-139.5661
1000.000000	91.157	-139.0406
1015.000000	91.275	-138.4150
1030.000000	91.396	-137.8261
1044.000000	91.509	-137.3056
1060.000000	91.638	-136.7433
1075.000000	91.759	-136.2530
1090.000000	91.881	-135.7960
1106.000000	92.009	-135.3397
1120.000000	92.120	-134.9625
1138.000000	92.261	-134.5055
1150.000000	92.353	-134.2183
1172.000000	92.521	-133.7249
1180.000000	92.581	-133.5547
1206.000000	92.773	-133.0329
1220.000000	92.875	-132.7713
1241.000000	93.025	-132.3996
1250.000000	93.088	-132.2458
1265.000000	93.192	-131.9950
1280.000000	93.295	-131.7496
1315.000000	93.532	-131.1992
1320.000000	93.566	-131.1233
1340.000000	93.701	-130.8294
1360.000000	93.836	-130.5551
1380.000000	93.971	-130.3048
1400.000000	94.104	-130.0763
1430.000000	94.300	-129.7595
1450.000000	94.429	-129.5563
1475.000000	94.589	-129.3125
1500.000000	94.749	-129.0831
1525.000000	94.910	-128.8642
1550.000000	95.071	-128.6592
1575.000000	95.232	-128.4744
1600.000000	95.393	-128.3102
1625.000000	95.554	-128.1684
1650.000000	95.715	-128.0489
1675.000000	95.877	-127.9542
1700.000000	96.041	-127.8872
1725.000000	96.206	-127.8517
1750.000000	96.372	-127.8468
1775.000000	96.538	-127.8722
1800.000000	96.705	-127.9306
1825.000000	96.873	-128.0243
1850.000000	97.041	-128.1546
1875.000000	97.209	-128.3224
1900.000000	97.377	-128.5304
1925.000000	97.545	-128.7812
1950.000000	97.711	-129.0733
1975.000000	97.877	-129.4076
2000.000000	98.041	-129.7856
2030.000000	98.235	-130.2974
2060.000000	98.425	-130.8749
2090.000000	98.612	-131.5183
2120.000000	98.793	-132.2276
2140.000000	98.911	-132.7388
2180.000000	99.139	-133.8510
2200.000000	99.248	-134.4494
2240.000000	99.454	-135.7271
2270.000000	99.598	-136.7521
2300.000000	99.733	-137.8290
2330.000000	99.856	-138.9526
2360.000000	99.967	-140.1166
2400.000000	100.095	-141.7166
2430.000000	100.176	-142.9403
2470.000000	100.264	-144.5888
2500.000000	100.316	-145.8222
2540.000000	100.369	-147.4438
2580.000000	100.407	-149.0288
2620.000000	100.435	-150.5901
2650.000000	100.448	-151.7652
2690.000000	100.455	-153.3581
2720.000000	100.446	-154.5707
2760.000000	100.414	-156.1868
2800.000000	100.357	-157.7651
2850.000000	100.255	-159.6190
2900.000000	100.126	-161.2970
2950.000000	99.980	-162.8054
3000.000000	99.821	-164.1600
3040.000000	99.687	-165.1410
3070.000000	99.582	-165.8181
3110.000000	99.438	-166.6400
3150.000000	99.288	-167.3736
3200.000000	99.091	-168.1810
3250.000000	98.888	-168.8762
3300.000000	98.682	-169.4548
3350.000000	98.477	-169.9107
3400.000000	98.277	-170.2470
3450.000000	98.085	-170.4847
3500.000000	97.904	-170.6635
3550.000000	97.732	-170.8182
3600.000000	97.564	-170.9681
3650.000000	97.397	-171.1137
3700.000000	97.227	-171.2414
3750.000000	97.055	-171.3338
3820.000000	96.809	-171.3836
3870.000000	96.632	-171.3477
3950.000000	96.349	-171.1607
4000.000000	96.175	-170.9723
4060.000000	95.970	-170.6859
4120.000000	95.766	-170.3460
4180.000000	95.558	-169.9589
4250.000000	95.298	-169.3965
4310.000000	95.050	-168.6279
4370.000000	94.808	-167.2170
4440.000000	94.709	-164.9288
4500.000000	94.795	-163.9069
4550.000000	94.817	-163.9648
4620.000000	94.700	-164.1529
4680.000000	94.543	-163.9255
4750.000000	94.362	-163.3336
4820.000000	94.195	-162.5704
4870.000000	94.084	-161.9725
4940.000000	93.936	-161.0887
5000.000000	93.815	-160.2971
5080.000000	93.656	-159.1901
5150.000000	93.520	-158.1573
5220.000000	93.390	-157.0515
5300.000000	93.250	-155.6858
5380.000000	93.124	-154.2080
5450.000000	93.027	-152.8212
5520.000000	92.946	-151.3524
5600.000000	92.879	-149.5973
5700.000000	92.839	-147.3548
5800.000000	92.846	-145.1318
5900.000000	92.894	-142.9865
6000.000000	92.978	-140.9475
6080.000000	93.066	-139.3995
6150.000000	93.158	-138.1069
6220.000000	93.264	-136.8708
6300.000000	93.403	-135.5270
6400.000000	93.605	-133.9472
6500.000000	93.831	-132.4672
6600.000000	94.080	-131.0707
6700.000000	94.354	-129.7395
6800.000000	94.658	-128.4524
6900.000000	95.004	-127.1980
7000.000000	95.408	-126.0000
7100.000000	95.888	-124.9368
7200.000000	96.459	-124.1558
7300.000000	97.127	-123.8677
7400.000000	97.887	-124.3237
7500.000000	98.719	-125.8055
7620.000000	99.751	-129.3512
7750.000000	100.779	-135.8042
7880.000000	101.515	-144.9327
8000.000000	101.774	-154.8402
8120.000000	101.582	-164.7204
8250.000000	100.963	-173.9118
8380.000000	100.103	179.1641
8500.000000	99.250	174.6784
8620.000000	98.438	171.6072
8750.000000	97.658	169.3353
8850.000000	97.145	168.0105
9000.000000	96.514	166.2557
9120.000000	96.113	164.7480
9250.000000	95.756	162.7446
9380.000000	95.442	160.1521
9500.000000	95.145	157.1223
9620.000000	94.798	153.4784
9750.000000	94.312	149.0044
9880.000000	93.673	144.3409
