* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 4, 24 4:49:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 54 Windows vol, BALANCE tips
* Measurement: TangZu YuXuanJi USBC Bal R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.650	-114.5274
20.600000	93.689	-115.0916
20.900000	93.764	-116.0966
21.200001	93.823	-117.0425
21.400000	93.854	-117.6321
21.799999	93.901	-118.7421
22.000000	93.920	-119.2658
22.400000	93.959	-120.2308
22.700001	93.998	-120.9042
23.000000	94.052	-121.5892
23.299999	94.121	-122.3401
23.600000	94.198	-123.1867
24.000000	94.301	-124.4615
24.299999	94.367	-125.4714
24.700001	94.436	-126.7756
25.000000	94.474	-127.6489
25.400000	94.515	-128.6341
25.799999	94.556	-129.4604
26.200001	94.597	-130.2250
26.500000	94.623	-130.8029
26.900000	94.649	-131.5889
27.200001	94.661	-132.1716
27.600000	94.675	-132.9133
28.000000	94.696	-133.6213
28.500000	94.740	-134.5311
29.000000	94.792	-135.5355
29.500000	94.834	-136.5896
30.000000	94.862	-137.5757
30.400000	94.884	-138.2840
30.700001	94.904	-138.7890
31.100000	94.936	-139.4738
31.500000	94.967	-140.1946
32.000000	94.993	-141.1093
32.500000	95.004	-141.9453
33.000000	95.013	-142.6635
33.500000	95.034	-143.3344
34.000000	95.063	-144.0590
34.500000	95.090	-144.8587
35.000000	95.109	-145.6770
35.500000	95.125	-146.4554
36.000000	95.142	-147.1866
36.500000	95.160	-147.8883
37.000000	95.177	-148.5670
37.500000	95.189	-149.2229
38.200001	95.200	-150.1332
38.700001	95.200	-150.7937
39.500000	95.190	-151.8121
40.000000	95.189	-152.4086
40.599998	95.201	-153.1324
41.200001	95.217	-153.8889
41.799999	95.226	-154.6000
42.500000	95.234	-155.2864
43.099998	95.249	-155.8259
43.700001	95.259	-156.4149
44.400002	95.254	-157.1306
45.000000	95.244	-157.7036
45.500000	95.243	-158.1808
46.200001	95.252	-158.9317
46.799999	95.253	-159.6236
47.500000	95.237	-160.3342
48.200001	95.214	-160.9238
48.700001	95.197	-161.3518
49.400002	95.168	-161.9903
50.000000	95.151	-162.4718
50.799999	95.172	-162.9923
51.500000	95.201	-163.4930
52.200001	95.169	-163.9395
53.000000	95.079	-164.1032
53.799999	95.049	-164.3568
54.500000	95.077	-165.2144
55.200001	95.089	-166.3691
56.000000	95.073	-167.2433
57.000000	95.077	-167.6675
58.000000	95.070	-168.1861
59.000000	95.035	-168.8266
60.000000	95.004	-169.4461
60.799999	94.978	-169.9007
61.500000	94.955	-170.2847
62.200001	94.937	-170.7062
63.000000	94.917	-171.2230
64.000000	94.891	-171.8231
65.000000	94.862	-172.3499
66.000000	94.832	-172.8273
67.000000	94.808	-173.2866
68.000000	94.781	-173.7385
69.000000	94.750	-174.1684
70.000000	94.723	-174.5889
71.000000	94.700	-175.0216
72.000000	94.676	-175.4654
73.000000	94.649	-175.8967
74.000000	94.621	-176.3171
75.000000	94.593	-176.7257
76.199997	94.559	-177.1896
77.500000	94.522	-177.6544
78.800003	94.484	-178.0775
80.000000	94.449	-178.4673
81.199997	94.416	-178.8963
82.500000	94.382	-179.3558
83.800003	94.350	-179.7593
85.000000	94.315	179.8846
86.199997	94.281	179.5441
87.500000	94.253	179.1492
88.500000	94.230	178.8101
90.000000	94.185	178.3404
91.199997	94.146	178.0188
92.500000	94.105	177.7082
93.800003	94.065	177.3523
95.000000	94.024	177.0080
96.199997	93.985	176.6996
97.500000	93.944	176.3902
98.800003	93.901	176.1033
100.000000	93.859	175.8495
101.500000	93.807	175.5194
103.000000	93.761	175.2230
104.400002	93.715	174.9644
106.000000	93.666	174.6563
107.500000	93.625	174.4479
109.000000	93.577	174.2951
110.599998	93.548	174.2645
112.000000	93.520	174.3781
113.800003	93.412	174.1447
115.000000	93.316	173.6898
117.199997	93.184	173.1371
118.000000	93.162	173.1260
120.599998	93.170	173.2052
122.000000	93.164	173.0430
124.099998	93.111	172.7495
125.000000	93.092	172.6320
126.500000	93.062	172.4910
128.000000	93.025	172.4182
131.500000	92.941	172.2415
132.000000	92.932	172.2184
134.000000	92.896	172.1228
136.000000	92.855	172.0050
138.000000	92.803	171.9122
140.000000	92.752	171.8163
143.000000	92.687	171.5557
145.000000	92.628	171.3566
147.500000	92.553	171.3397
150.000000	92.476	171.4586
152.500000	92.395	171.6178
155.000000	92.328	171.9173
157.500000	92.282	172.2793
160.000000	92.261	172.6840
162.500000	92.268	172.9326
165.000000	92.280	172.9996
167.500000	92.276	172.9932
170.000000	92.251	172.9366
172.500000	92.192	172.8045
175.000000	92.115	172.5861
177.500000	92.081	172.5423
180.000000	92.081	172.5642
182.500000	92.084	172.3810
185.000000	92.054	172.1190
187.500000	91.985	171.9728
190.000000	91.928	171.9557
192.500000	91.886	171.9046
195.000000	91.844	171.8986
197.500000	91.799	171.9457
200.000000	91.756	171.9658
203.000000	91.707	171.9766
206.000000	91.663	171.9534
209.000000	91.634	171.8790
212.000000	91.614	171.8462
214.000000	91.601	171.8671
218.000000	91.563	171.9041
220.000000	91.539	171.9273
224.000000	91.489	171.9890
227.000000	91.453	172.0306
230.000000	91.420	172.0778
233.000000	91.391	172.1293
236.000000	91.364	172.1897
240.000000	91.331	172.2571
243.000000	91.301	172.3298
247.000000	91.251	172.4258
250.000000	91.218	172.5404
254.000000	91.181	172.7114
258.000000	91.139	172.8389
262.000000	91.094	172.9413
265.000000	91.062	173.0365
269.000000	91.018	173.1788
272.000000	90.986	173.2918
276.000000	90.941	173.4577
280.000000	90.900	173.6142
285.000000	90.862	173.8331
290.000000	90.814	174.0674
295.000000	90.767	174.3129
300.000000	90.724	174.5621
304.000000	90.692	174.7598
307.000000	90.670	174.9112
311.000000	90.643	175.1129
315.000000	90.608	175.2938
320.000000	90.568	175.5358
325.000000	90.534	175.7948
330.000000	90.502	176.0669
335.000000	90.472	176.3452
