* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 4, 24 5:13:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 54 Windows vol, WIDE tips
* Measurement: TangZu YuXuanJi USBC W L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.715	-125.0966
20.600000	94.746	-125.6144
20.900000	94.807	-126.5390
21.200001	94.860	-127.4162
21.400000	94.891	-127.9718
21.799999	94.942	-129.0476
22.000000	94.964	-129.5734
22.400000	95.002	-130.5801
22.700001	95.029	-131.2983
23.000000	95.056	-132.0073
23.299999	95.085	-132.7294
23.600000	95.114	-133.4776
24.000000	95.154	-134.5157
24.299999	95.182	-135.3028
24.700001	95.218	-136.3202
25.000000	95.248	-137.0340
25.400000	95.292	-137.9117
25.799999	95.343	-138.7297
26.200001	95.394	-139.5267
26.500000	95.428	-140.1254
26.900000	95.463	-140.9268
27.200001	95.482	-141.5246
27.600000	95.500	-142.3119
28.000000	95.515	-143.0925
28.500000	95.536	-144.0728
29.000000	95.558	-145.0513
29.500000	95.581	-145.9902
30.000000	95.605	-146.8560
30.400000	95.626	-147.5028
30.700001	95.642	-147.9750
31.100000	95.661	-148.6058
31.500000	95.675	-149.2453
32.000000	95.684	-150.0474
32.500000	95.685	-150.8313
33.000000	95.686	-151.5883
33.500000	95.691	-152.3307
34.000000	95.700	-153.0743
34.500000	95.709	-153.8184
35.000000	95.713	-154.5439
35.500000	95.714	-155.2272
36.000000	95.712	-155.8619
36.500000	95.712	-156.4663
37.000000	95.714	-157.0726
37.500000	95.716	-157.6998
38.200001	95.713	-158.5913
38.700001	95.709	-159.2009
39.500000	95.705	-160.1055
40.000000	95.705	-160.6535
40.599998	95.703	-161.3090
41.200001	95.696	-161.9402
41.799999	95.686	-162.5386
42.500000	95.677	-163.2444
43.099998	95.667	-163.8815
43.700001	95.651	-164.5008
44.400002	95.638	-165.1619
45.000000	95.635	-165.7313
45.500000	95.630	-166.2448
46.200001	95.602	-166.9586
46.799999	95.566	-167.4706
47.500000	95.534	-167.9763
48.200001	95.519	-168.5287
48.700001	95.510	-168.9737
49.400002	95.493	-169.5853
50.000000	95.476	-170.0465
50.799999	95.453	-170.6043
51.500000	95.429	-171.0846
52.200001	95.403	-171.5654
53.000000	95.377	-172.1291
53.799999	95.356	-172.7068
54.500000	95.336	-173.1847
55.200001	95.310	-173.6172
56.000000	95.276	-174.0839
57.000000	95.234	-174.6807
58.000000	95.201	-175.2858
59.000000	95.168	-175.8580
60.000000	95.126	-176.3974
60.799999	95.089	-176.8248
61.500000	95.061	-177.2032
62.200001	95.039	-177.5729
63.000000	95.015	-177.9633
64.000000	94.980	-178.4245
65.000000	94.933	-178.8926
66.000000	94.886	-179.3389
67.000000	94.847	-179.7675
68.000000	94.813	179.8139
69.000000	94.775	179.4017
70.000000	94.732	178.9881
71.000000	94.686	178.6173
72.000000	94.648	178.2800
73.000000	94.616	177.9288
74.000000	94.583	177.5660
75.000000	94.544	177.2165
76.199997	94.492	176.8364
77.500000	94.438	176.4478
78.800003	94.392	176.0684
80.000000	94.347	175.7225
81.199997	94.295	175.3985
82.500000	94.244	175.0531
83.800003	94.195	174.7188
85.000000	94.150	174.4382
86.199997	94.104	174.1572
87.500000	94.056	173.8523
88.500000	94.020	173.6273
90.000000	93.963	173.3099
91.199997	93.917	173.0528
92.500000	93.864	172.7882
93.800003	93.812	172.5712
95.000000	93.769	172.3766
96.199997	93.727	172.1669
97.500000	93.677	171.9537
98.800003	93.627	171.7563
100.000000	93.582	171.5773
101.500000	93.529	171.3484
103.000000	93.478	171.1425
104.400002	93.433	171.0204
106.000000	93.376	170.8625
107.500000	93.324	170.6783
109.000000	93.271	170.5916
110.599998	93.206	170.4781
112.000000	93.170	170.3152
113.800003	93.131	170.1613
115.000000	93.082	170.1721
117.199997	93.030	170.2437
118.000000	93.017	170.2039
120.599998	92.929	169.8943
122.000000	92.896	169.7234
124.099998	92.853	169.6498
125.000000	92.832	169.6144
126.500000	92.802	169.5387
128.000000	92.773	169.4727
131.500000	92.695	169.2326
132.000000	92.683	169.1941
134.000000	92.632	169.0727
136.000000	92.582	169.0037
138.000000	92.532	168.9330
140.000000	92.484	168.8577
143.000000	92.411	168.7583
145.000000	92.364	168.7202
147.500000	92.303	168.7202
150.000000	92.238	168.7921
152.500000	92.179	168.7761
155.000000	92.132	168.7062
157.500000	92.084	168.6762
160.000000	92.027	168.6976
162.500000	91.964	168.7380
165.000000	91.893	168.7724
167.500000	91.818	168.8024
170.000000	91.743	168.8588
