* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 4, 24 4:54:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 54 Windows vol, WIDE tips
* Measurement: TangZu YuXuanJi USBC W R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.417	-122.8075
20.600000	96.446	-123.3791
20.900000	96.503	-124.3980
21.200001	96.554	-125.3635
21.400000	96.583	-125.9828
21.799999	96.633	-127.2151
22.000000	96.654	-127.8363
22.400000	96.689	-129.0532
22.700001	96.712	-129.9205
23.000000	96.738	-130.7461
23.299999	96.769	-131.5429
23.600000	96.808	-132.3292
24.000000	96.867	-133.3856
24.299999	96.911	-134.1853
24.700001	96.964	-135.2329
25.000000	96.997	-135.9735
25.400000	97.033	-136.8739
25.799999	97.066	-137.6900
26.200001	97.100	-138.4832
26.500000	97.124	-139.1049
26.900000	97.153	-139.9952
27.200001	97.169	-140.7001
27.600000	97.184	-141.6531
28.000000	97.198	-142.5757
28.500000	97.220	-143.6587
29.000000	97.251	-144.6865
29.500000	97.281	-145.6805
30.000000	97.301	-146.6263
30.400000	97.311	-147.3401
30.700001	97.316	-147.8600
31.100000	97.323	-148.5598
31.500000	97.330	-149.2881
32.000000	97.334	-150.2301
32.500000	97.334	-151.1468
33.000000	97.337	-151.9813
33.500000	97.346	-152.7428
34.000000	97.359	-153.4856
34.500000	97.366	-154.2454
35.000000	97.362	-155.0174
35.500000	97.351	-155.7874
36.000000	97.339	-156.5576
36.500000	97.332	-157.3303
37.000000	97.329	-158.0848
37.500000	97.330	-158.7902
38.200001	97.334	-159.6840
38.700001	97.334	-160.2880
39.500000	97.320	-161.2533
40.000000	97.303	-161.8510
40.599998	97.283	-162.5507
41.200001	97.269	-163.2396
41.799999	97.259	-163.9340
42.500000	97.246	-164.7522
43.099998	97.229	-165.4408
43.700001	97.210	-166.1009
44.400002	97.187	-166.8322
45.000000	97.168	-167.4311
45.500000	97.151	-167.9148
46.200001	97.126	-168.5780
46.799999	97.103	-169.1362
47.500000	97.075	-169.7585
48.200001	97.043	-170.3488
48.700001	97.019	-170.7759
49.400002	96.985	-171.4191
50.000000	96.962	-172.0145
50.799999	96.947	-172.8123
51.500000	96.937	-173.3744
52.200001	96.920	-173.6755
53.000000	96.898	-173.8470
53.799999	96.866	-174.2649
54.500000	96.818	-174.9195
55.200001	96.762	-175.6169
56.000000	96.719	-176.2726
57.000000	96.686	-176.9149
58.000000	96.640	-177.4838
59.000000	96.590	-178.1063
60.000000	96.544	-178.7644
60.799999	96.509	-179.2410
61.500000	96.478	-179.6214
62.200001	96.446	-179.9896
63.000000	96.408	179.5883
64.000000	96.361	179.0620
65.000000	96.313	178.5598
66.000000	96.266	178.0825
67.000000	96.220	177.6180
68.000000	96.173	177.1816
69.000000	96.127	176.7621
70.000000	96.080	176.3395
71.000000	96.031	175.9235
72.000000	95.983	175.5215
73.000000	95.934	175.1346
74.000000	95.886	174.7634
75.000000	95.838	174.4098
76.199997	95.782	173.9987
77.500000	95.721	173.5739
78.800003	95.661	173.1799
80.000000	95.606	172.8312
81.199997	95.550	172.4922
82.500000	95.487	172.1459
83.800003	95.426	171.8152
