* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 29, 24 9:02:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Logitech UE900 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.767	65.9375
20.600000	93.805	65.5173
20.900000	93.881	64.7708
21.200001	93.951	64.0698
21.400000	93.995	63.6231
21.799999	94.078	62.7355
22.000000	94.119	62.2858
22.400000	94.196	61.3963
22.700001	94.251	60.7542
23.000000	94.302	60.1390
23.299999	94.353	59.5483
23.600000	94.404	58.9734
24.000000	94.470	58.2144
24.299999	94.519	57.6403
24.700001	94.581	56.8660
25.000000	94.625	56.2855
25.400000	94.681	55.5246
25.799999	94.736	54.7890
26.200001	94.791	54.0798
26.500000	94.832	53.5615
26.900000	94.887	52.8839
27.200001	94.926	52.3845
27.600000	94.977	51.7314
28.000000	95.024	51.0951
28.500000	95.080	50.3251
29.000000	95.132	49.5809
29.500000	95.181	48.8556
30.000000	95.229	48.1375
30.400000	95.267	47.5626
30.700001	95.294	47.1326
31.100000	95.329	46.5698
31.500000	95.364	46.0306
32.000000	95.410	45.3984
32.500000	95.461	44.7966
33.000000	95.512	44.1910
33.500000	95.557	43.5660
34.000000	95.590	42.9400
34.500000	95.614	42.3429
35.000000	95.637	41.7816
35.500000	95.663	41.2378
36.000000	95.693	40.6939
36.500000	95.725	40.1522
37.000000	95.755	39.6265
37.500000	95.783	39.1233
38.200001	95.819	38.4474
38.700001	95.843	37.9770
39.500000	95.880	37.2358
40.000000	95.904	36.7736
40.599998	95.931	36.2231
41.200001	95.956	35.6917
41.799999	95.981	35.1823
42.500000	96.011	34.6015
43.099998	96.035	34.1202
43.700001	96.058	33.6746
44.400002	96.087	33.1846
45.000000	96.111	32.7480
45.500000	96.127	32.3642
46.200001	96.142	31.8300
46.799999	96.154	31.3963
47.500000	96.172	30.9007
48.200001	96.192	30.4075
48.700001	96.205	30.0722
49.400002	96.222	29.6422
50.000000	96.237	29.3008
50.799999	96.255	28.8608
51.500000	96.271	28.4730
52.200001	96.285	28.0644
53.000000	96.299	27.5700
53.799999	96.310	27.0856
54.500000	96.322	26.7004
55.200001	96.338	26.3443
56.000000	96.356	25.9400
57.000000	96.366	25.4268
58.000000	96.373	24.9264
59.000000	96.389	24.4261
60.000000	96.406	23.9730
60.799999	96.417	23.6602
61.500000	96.427	23.3946
62.200001	96.434	23.1264
63.000000	96.437	22.8271
64.000000	96.434	22.4710
65.000000	96.438	22.0712
66.000000	96.456	21.5650
67.000000	96.475	21.0731
68.000000	96.487	20.7083
69.000000	96.491	20.4388
70.000000	96.498	20.1656
71.000000	96.504	19.8092
72.000000	96.502	19.4602
73.000000	96.502	19.1605
74.000000	96.503	18.8449
75.000000	96.502	18.5265
76.199997	96.514	18.2106
77.500000	96.558	17.9540
78.800003	96.591	17.6704
80.000000	96.574	17.5224
81.199997	96.538	17.3040
82.500000	96.520	16.9177
83.800003	96.531	16.5426
85.000000	96.500	16.0170
86.199997	96.430	15.3877
87.500000	96.455	15.1961
88.500000	96.529	15.3666
90.000000	96.570	15.5841
91.199997	96.558	15.2166
92.500000	96.551	14.6012
93.800003	96.556	14.2357
95.000000	96.563	14.0227
96.199997	96.570	13.8208
97.500000	96.576	13.6357
98.800003	96.571	13.4486
100.000000	96.564	13.2774
101.500000	96.565	13.0362
103.000000	96.564	12.7291
104.400002	96.561	12.4650
106.000000	96.557	12.2284
107.500000	96.554	12.0193
109.000000	96.551	11.8026
110.599998	96.548	11.5840
112.000000	96.547	11.4195
113.800003	96.544	11.2323
115.000000	96.540	11.0938
117.199997	96.532	10.8152
118.000000	96.529	10.7242
120.599998	96.515	10.4799
122.000000	96.509	10.3318
124.099998	96.512	10.1097
125.000000	96.514	10.0303
126.500000	96.516	9.8974
128.000000	96.517	9.7619
131.500000	96.522	9.5155
132.000000	96.523	9.4779
134.000000	96.523	9.3095
136.000000	96.520	9.1389
138.000000	96.517	8.9789
140.000000	96.517	8.8515
143.000000	96.517	8.6724
