* Measurement data measured by REW V5.20.13
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 29, 24 9:05:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; CP100
* Measurement: Logitech UE900 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.705	65.1858
20.600000	92.744	64.7693
20.900000	92.820	64.0276
21.200001	92.888	63.3268
21.400000	92.931	62.8786
21.799999	93.012	61.9862
22.000000	93.053	61.5335
22.400000	93.134	60.6346
22.700001	93.193	59.9808
23.000000	93.251	59.3506
23.299999	93.309	58.7452
23.600000	93.365	58.1605
24.000000	93.436	57.4027
24.299999	93.484	56.8431
24.700001	93.542	56.1064
25.000000	93.580	55.5647
25.400000	93.625	54.8646
25.799999	93.669	54.1907
26.200001	93.715	53.5291
26.500000	93.751	53.0280
26.900000	93.803	52.3431
27.200001	93.841	51.8203
27.600000	93.889	51.1291
28.000000	93.935	50.4713
28.500000	93.991	49.7112
29.000000	94.050	48.9865
29.500000	94.109	48.2478
30.000000	94.159	47.4897
30.400000	94.191	46.8982
30.700001	94.213	46.4771
31.100000	94.244	45.9450
31.500000	94.278	45.4291
32.000000	94.323	44.7784
32.500000	94.365	44.1232
33.000000	94.402	43.5007
33.500000	94.438	42.9307
34.000000	94.479	42.3859
34.500000	94.520	41.8238
35.000000	94.558	41.2370
35.500000	94.587	40.6566
36.000000	94.610	40.1116
36.500000	94.632	39.5996
37.000000	94.655	39.0993
37.500000	94.679	38.5984
38.200001	94.713	37.9058
38.700001	94.739	37.4246
39.500000	94.781	36.6770
40.000000	94.803	36.2316
40.599998	94.825	35.7276
41.200001	94.848	35.2282
41.799999	94.872	34.6787
42.500000	94.896	33.9651
43.099998	94.911	33.3782
43.700001	94.926	32.8987
44.400002	94.951	32.4628
45.000000	94.973	32.1295
45.500000	94.987	31.8591
46.200001	95.004	31.4829
46.799999	95.026	31.1104
47.500000	95.051	30.5547
48.200001	95.057	29.9696
48.700001	95.052	29.6325
49.400002	95.050	29.2766
50.000000	95.061	28.9595
50.799999	95.081	28.4246
51.500000	95.099	27.9478
52.200001	95.119	27.5442
53.000000	95.142	27.1707
53.799999	95.157	26.8864
54.500000	95.172	26.6595
55.200001	95.190	26.3580
56.000000	95.209	25.8861
57.000000	95.222	25.2122
58.000000	95.232	24.5990
59.000000	95.243	24.1157
60.000000	95.236	23.7550
60.799999	95.220	23.5276
61.500000	95.214	23.3137
62.200001	95.221	23.0637
63.000000	95.242	22.7813
64.000000	95.275	22.4645
65.000000	95.294	22.1065
66.000000	95.300	21.6573
67.000000	95.302	21.1765
68.000000	95.308	20.7753
69.000000	95.318	20.4434
70.000000	95.322	20.1698
71.000000	95.326	19.9123
72.000000	95.330	19.5350
73.000000	95.323	19.1480
74.000000	95.318	18.8707
75.000000	95.318	18.6080
76.199997	95.329	18.3539
77.500000	95.372	18.2721
78.800003	95.404	18.1186
80.000000	95.374	17.6764
81.199997	95.324	17.2901
82.500000	95.305	17.0326
83.800003	95.308	16.8800
85.000000	95.336	16.8281
86.199997	95.396	16.6888
87.500000	95.414	16.3081
88.500000	95.351	16.0915
90.000000	95.227	15.8279
91.199997	95.226	15.4786
92.500000	95.299	14.9931
93.800003	95.322	14.6641
95.000000	95.303	14.5125
96.199997	95.291	14.3942
97.500000	95.285	14.2649
98.800003	95.285	14.1284
100.000000	95.296	13.9902
101.500000	95.319	13.7810
103.000000	95.335	13.5493
104.400002	95.342	13.3691
106.000000	95.339	13.1925
107.500000	95.331	13.0191
109.000000	95.321	12.8417
110.599998	95.308	12.6781
112.000000	95.303	12.5414
113.800003	95.303	12.3584
115.000000	95.302	12.2464
117.199997	95.295	12.0652
118.000000	95.292	12.0004
120.599998	95.284	11.7899
122.000000	95.279	11.6807
124.099998	95.270	11.5198
125.000000	95.268	11.4455
126.500000	95.267	11.3261
128.000000	95.269	11.2287
131.500000	95.270	11.0343
132.000000	95.270	11.0106
134.000000	95.270	10.9259
136.000000	95.270	10.8279
138.000000	95.271	10.7439
140.000000	95.271	10.6704
143.000000	95.272	10.5808
145.000000	95.275	10.5315
147.500000	95.280	10.4726
150.000000	95.284	10.4414
152.500000	95.292	10.4954
155.000000	95.306	10.4915
157.500000	95.323	10.3371
160.000000	95.319	10.2356
162.500000	95.311	10.1732
165.000000	95.304	10.1075
167.500000	95.298	10.0166
170.000000	95.289	9.9196
172.500000	95.277	9.8258
175.000000	95.263	9.7511
177.500000	95.251	9.6915
180.000000	95.236	9.6411
182.500000	95.220	9.5915
185.000000	95.205	9.5430
187.500000	95.190	9.5112
190.000000	95.178	9.4944
192.500000	95.165	9.4784
195.000000	95.153	9.4650
197.500000	95.142	9.4561
200.000000	95.136	9.4502
203.000000	95.134	9.4474
206.000000	95.137	9.4497
209.000000	95.143	9.4566
212.000000	95.149	9.4673
214.000000	95.153	9.4764
218.000000	95.161	9.4906
220.000000	95.166	9.4953
224.000000	95.175	9.5179
227.000000	95.181	9.5522
230.000000	95.187	9.5872
233.000000	95.195	9.6191
236.000000	95.202	9.6542
240.000000	95.212	9.7026
243.000000	95.220	9.7375
247.000000	95.230	9.7884
250.000000	95.236	9.8293
254.000000	95.242	9.8867
258.000000	95.248	9.9453
262.000000	95.254	10.0087
